"","Estimate","Std. Error","z value","Pr(>|z|)"
"ATSC3i",774322891234579,9876225.77856737,78402712.5944159,0
"ATSC4i",-117864984826424,10282753.3708058,-11462395.3892603,0
"ATSC5i",-309156146542724,8863472.44794085,-34879800.0285482,0
"ATSC6i",-497791853853032,7752893.15729835,-64207237.7051173,0
"ATSC7i",-270859712855100,6765330.3534802,-40036435.5771282,0
"ATSC8i",-146116914653577,5048664.02449169,-28941699.0207202,0
"ATSC1s",1799181736022111,27001727.2949779,66632097.8790399,0
"ATSC2s",-264932270414245,21005771.0176808,-12612356.3944046,0
"ATSC3s",-175343314016119,8585728.57436488,-20422648.1768427,0
"ATSC4s",460189064616923,9474679.20065687,48570411.1844777,0
"ATSC5s",436117183815708,8084389.50610399,53945592.7360285,0
"ATSC6s",-140286681062106,8392744.35646017,-16715233.4330454,0
"ATSC7s",-391494826499704,6334134.09308854,-61807157.9707922,0
"ATSC8s",121177988030065,5250215.20923474,23080575.4051609,0
"AATSC3c",-1514717683672900,38090945.3297807,-39765820.2115726,0
"AATSC4c",-5568579566273843,44107887.7285153,-126249064.578847,0
"AATSC5c",-6640857547137052,58339497.5475784,-113831243.433681,0
"AATSC7c",2862527581592478,36451039.2514283,78530753.5910738,0
"AATSC8c",827301129314033,18731203.477749,44167003.4868178,0
"AATSC1m",-1781487548343130,33370564.0511375,-53384999.5946474,0
"AATSC2m",236366572069332,20388213.7218079,11593294.7974008,0
"AATSC3m",-574942132258812,16286628.5842797,-35301482.3960413,0
"AATSC4m",-616130308603893,20663893.0930867,-29816758.4311606,0
"AATSC5m",-998644752117651,17561961.4608447,-56864078.328846,0
"AATSC6m",-902006000315934,17227268.6666206,-52359199.695054,0
"AATSC7m",821804223026248,22675006.8431275,36242733.1868844,0
"AATSC8m",240033137039049,8008153.88401725,29973591.9808071,0
"AATSC0v",-1670024751893382,29085956.0689063,-57416876.6512951,0
"AATSC1v",-2045945231551073,42192599.4945958,-48490618.1666557,0
"AATSC2v",-942048059955504,33120564.3728368,-28442995.3955768,0
"AATSC3v",-517147310171359,24613791.2180278,-21010469.5205421,0
"AATSC4v",436076570406077,17341140.7160405,25146936.844974,0
"AATSC5v",1006888713456203,18559800.4868652,54251052.6537601,0
"AATSC6v",594854632275966,19650515.5923626,30271706.0771252,0
"AATSC7v",-227268307151598,15706036.222177,-14470124.9848574,0
"AATSC8v",833724347867428,15474830.6904639,53876153.1252936,0
"AATSC1e",-189617971314849,22417650.9253677,-8458422.87160773,0
"AATSC2e",-136242274695194,20600051.5052518,-6613686.11920512,0
"AATSC3e",529282503057707,14665911.6360506,36089301.2444358,0
"AATSC4e",2134090741202836,17082496.3099836,124928505.909034,0
"AATSC5e",652028413911334,15275636.6621272,42684205.4660743,0
"AATSC6e",-62554139610175.4,12876377.7472871,-4858054.09237506,0
"AATSC7e",-132813136620471,11117898.2989435,-11945885.1888483,0
"AATSC8e",-409753074266134,9880718.24872537,-41469968.4730907,0
"AATSC0p",311711821552499,96594470.0024047,3227015.18570099,0
"AATSC1p",1795737579973728,30940448.4148742,58038511.7854481,0
"AATSC2p",1338896055305284,20336468.6343971,65837195.2070712,0
"AATSC3p",2422828349388409,21641470.8635916,111953035.200784,0
"AATSC4p",-1360794053381.06,28761069.2767977,-47313.750413266,0
"AATSC5p",1035644579541803,16892290.0216819,61308714.1064068,0
"AATSC6p",646285068940513,16120319.5449577,40091331.1388213,0
"AATSC7p",-937798522891779,18301514.4853562,-51241580.2332725,0
"AATSC8p",237523260888088,15641398.4357649,15185551.4622643,0
"AATSC0i",-953172463708228,39081231.5894047,-24389519.596579,0
"AATSC1i",-1900230780427088,21156675.4805089,-89817078.40524,0
