"","Estimate","Std. Error","z value","Pr(>|z|)"
"ATSC5s",341192216379485,9635622.40424279,35409463.1426456,0
"ATSC6s",355277838067169,9798303.07582194,36259119.0860226,0
"ATSC7s",-234685770507269,7537797.10911648,-31134530.0370889,0
"ATSC8s",269718608671160,6693244.70632124,40297138.4590843,0
"ATSC1Z",506281356048651,30395568.4975212,16656420.0333986,0
"ATSC2Z",-1813658310050562,16438786.2775361,-110327993.772202,0
"ATSC3Z",92575757854645.5,13525857.1383049,6844354.25482004,0
"ATSC4Z",360740855655454,11799532.504378,30572470.1823237,0
"ATSC5Z",54308248174979.6,11885166.6243975,4569414.11856165,0
"ATSC6Z",-43714856767807.5,9369601.70392228,-4665604.59549819,0
"ATSC7Z",-56954239111769.5,9422091.33682258,-6044755.57238402,0
"ATSC8Z",287685758454809,7034775.4630577,40894803.2478871,0
"ATSC1v",-5949387094888084,54599827.5110068,-108963477.836789,0
"ATSC2v",5617749883196433,57737170.5748743,97298669.596413,0
"ATSC3v",1197921919475750,28845464.1423829,41528952.8212386,0
"ATSC4v",-1271466751461116,27427000.1371722,-46358214.3545432,0
"ATSC5v",397787143952107,21193734.4059187,18769091.6727265,0
"ATSC6v",1314723643508768,18484635.2221647,71125214.412254,0
"ATSC7v",559523020294957,14679331.7312004,38116382.3081749,0
"ATSC8v",-131018603404614,11071697.4722723,-11833650.9584672,0
"ATSC1se",-490875589229566,28595585.5136938,-17166131.7791341,0
"ATSC2se",243883463308530,30448446.3443285,8009717.82108538,0
"ATSC3se",440536939362280,13751680.7807063,32035134.2055842,0
"ATSC4se",-1046149014137993,13436343.6312442,-77859650.128725,0
"ATSC5se",-28069814978346.2,12528375.4447559,-2240499.18539883,0
"ATSC6se",-4016600582572.71,11905232.1163511,-337381.123132926,0
"ATSC7se",622417384701198,9815464.64861468,63411912.4242421,0
"ATSC8se",-392822179175375,8509526.14200377,-46162638.5089024,0
"ATSC1p",3084681901243506,36378004.7756134,84795247.0255152,0
"ATSC2p",-905494879734056,31113907.0213637,-29102577.1566495,0
"ATSC3p",-1597409516385026,19895043.9336886,-80291831.5591204,0
"ATSC4p",581115346724788,20535608.667043,28297936.3381327,0
"ATSC5p",-327914333032354,14923605.7392443,-21972862.2399911,0
"ATSC6p",-659451650271065,14955952.8935519,-44092921.0572321,0
"ATSC7p",-234997738306644,12728827.333869,-18461852.9376512,0
"ATSC8p",-173310534927721,10837572.8728938,-15991637.330642,0
"ATSC0i",12614609897313764,103552607.160156,121818370.809378,0
"ATSC1i",-534840700898934,27414440.9056432,-19509451.341349,0
"ATSC2i",-530583934595442,13212468.665828,-40157819.7091749,0
"ATSC3i",624815513736364,11090484.8239183,56337980.1385106,0
"ATSC4i",219432718409367,10455241.8220623,20987818.5644953,0
"ATSC5i",-70623126041169.8,9334509.00420165,-7565810.47909225,0
"ATSC6i",-303474414743170,8161953.99754118,-37181588.4817034,0
"ATSC7i",44985434747295.8,6935924.76792164,6485859.67301023,0
"ATSC8i",251997870886199,6186461.84418919,40733763.0511526,0
"AATSC0c",2299619399407601,24348861.6883879,94444636.8309816,0
"AATSC2c",601913744631299,15266864.346379,39426153.9878071,0
"AATSC3c",-21148997940379.4,16823992.8024155,-1257073.64409613,0
"AATSC4c",-968496465342295,16897199.6663124,-57316980.5925395,0
"AATSC5c",-984350465465055,13621366.6565791,-72265176.4894394,0
"AATSC6c",-244828303760381,9043741.56124289,-27071572.3246225,0
"AATSC7c",276986521810780,6137656.43047451,45129036.6198236,0
"AATSC8c",-178184399584238,5277706.15449516,-33761712.8290619,0
"AATSC0dv",-179426595352928,34051143.7919502,-5269326.52979912,0
"AATSC1dv",607533210255090,45014891.982533,13496271.6447443,0
"AATSC2dv",-493660885777176,26729730.0286681,-18468607.2492208,0
"AATSC3dv",980817965119099,20223410.1551135,48499138.2559237,0
"AATSC4dv",239172179223965,15081565.9118348,15858577.3269261,0
"AATSC5dv",-231053312569316,18380006.463722,-12570904.8593298,0
"AATSC6dv",-591429458600098,15815580.2977552,-37395368.836643,0
"AATSC7dv",425605312730802,16475188.9374576,25833106.6397154,0
"AATSC8dv",-167545732298461,11895120.0401729,-14085249.3907262,0
"AATSC0d",1775792592831194,52628596.1499447,33741971.5276418,0
"AATSC1d",-421378482604864,35975617.2697992,-11712890.9684783,0
"AATSC2d",-1621129802289132,19736605.6111865,-82138227.5263327,0
