"","x"
"1",0.0329146092993606
"2",0.997604885049995
"3",0.44932868679943
"4",1
"5",0.209709216759454
"6",0.99999996789518
"7",0.999988808518679
"8",0.0284513500677256
"9",0.022663627748328
"10",0.238332900183148
"11",0.823786282290968
"12",0.731582673221511
"13",0.888061302397603
"14",0.154501655132623
"15",0.116570986131478
"16",0.986630769083241
"17",0.0159369713020412
"18",0.41072071890953
"19",0.383786268117188
"20",0.679503736506664
"21",0.254769540366578
"22",0.98759484153777
"23",0.106231354454482
"24",0.984181846946056
"25",0.952687366823268
"26",0.528002531528859
"27",0.961999876744385
"28",0.386351718131261
"29",0.886688925890653
"30",0.20047134048302
"31",0.0253385358262756
"32",0.712784851830043
"33",0.835306546815198
"34",0.0109998361676783
"35",0.987914073167734
"36",0.583297497367925
"37",1
"38",0.54953953182312
"39",0.00513803386018466
"40",0.828410285294253
"41",0.219310399564279
"42",0.994288415313333
"43",0.490006408181387
"44",0.581544726844016
"45",0.99999801499876
"46",0.186411525182917
"47",0.0392543573865477
"48",0.903702720260471
"49",0.999999960429617
"50",0.980978466782786
"51",0.557120387430709
"52",0.978255200977392
"53",0.695336708494865
"54",0.0227894432077418
"55",0.0118354739572593
"56",0.996479544576888
"57",0.998326587331982
"58",0.0115731341650547
"59",0.0248106977712568
"60",0.999999290488104
"61",0.604087377743124
"62",0.991474452873195
"63",0.0550952570651767
"64",0.0453461902444526
"65",0.857733466971826
"66",0.968386377770191
"67",0.446132047284113
"68",0.00693864850779091
"69",0.983113172705116
"70",0.737121327620033
"71",0.653688875413428
"72",0.172005513906031
"73",0.353402333557091
"74",0.0805021911129178
"75",0.0784993267326004
"76",0.268318571148416
"77",0.366377045611326
"78",0.516246288704558
"79",0.908028211247248
"80",0.755320801348
"81",0.107405107701019
"82",0.729974031221241
"83",0.0624949800712117
"84",0.123873171367874
"85",0.939748380458533
"86",0.984729958440784
"87",0.999999249573137
"88",0.0678541246734854
"89",0.985634260781291
"90",0.0871500357127753
"91",0.023185702943606
"92",0.501267343462906
"93",0.261264064699306
"94",0.13420583784874
"95",0.999999965078722
"96",0.0502672124225444
"97",0.241268663901048
"98",0.0583855149230512
"99",0.983772026767614
"100",0.0664696368115753
"101",0.999999993709159
"102",0.954734844862438
"103",0.740164446312967
"104",0.476025560021704
"105",0.616511848845366
"106",0.0101287534907076
"107",0.957288793945108
"108",0.33565990902973
"109",0.24160591429672
"110",1
"111",0.918738175486418
"112",0.999999510109918
"113",0.82124263397586
"114",0.999159608061843
"115",0.385543754978747
"116",0.996476818332971
"117",0.40421236153179
"118",1
"119",0.0499106142207785
"120",0.0448192116611218
"121",0.054567469519161
"122",0.475464865874379
"123",0.311988318561105
"124",0.186016153010635
"125",0.999999997031219
"126",0.209459437459581
"127",0.99999986394607
"128",0.827279438803844
"129",0.960439450705346
"130",0.0406622897855714
"131",0.0904117995662638
"132",0.964276246697444
"133",0.19993528646884
"134",0.0119321676101284
"135",0.299749256822921
"136",0.11548664624845
"137",0.604749107495947
"138",0.0987574721242721
"139",0.999398078776376
"140",0.103180742470422
"141",0.0682512141406639
"142",0.620828416587099
"143",0.999422412836441
"144",0.999201916675249
"145",0.89630104833413
"146",0.283879684184384
"147",0.776519998441447
"148",0.975464426169045
"149",0.791802130067865
"150",0.0252848910935347
"151",0.158425811339691
"152",0.999950526810683
"153",0.547786476652904
"154",0.480314680299134
"155",0.0123321532707058
"156",0.873274708003507
"157",0.0479294663073162
"158",0.918983670843194
"159",0.914094121331096
"160",0.989868888965344
"161",0.990358992975643
"162",0.0108245983109808
"163",0.943382360549764
"164",0.0924375581538228
"165",0.470254373966243
"166",0.650138945249372
"167",0.0201623281928356
"168",0.0872487963857259
"169",0.0468827224068582
"170",0.962065023799482
"171",0.999073879237045
"172",0.795912888015781
"173",0.658160689653285
"174",0.238468106269593
"175",0.370869037151563
"176",0.355013595433484
"177",0.983290072851897
"178",0.0527917096500901
"179",0.188717536805137
"180",0.965352317897374
"181",0.979480016162542
"182",0.592535153928607
"183",0.769586581664628
"184",0.000355235842878796
"185",0.567699020291795
"186",0.12231280671314
"187",0.0336411563286899
"188",0.0506330645216303
"189",0.98653610189115
"190",0.87340534904621
"191",0.999999996063348
"192",0.14436860526183
"193",0.999387886236518
"194",0.974059899640129
"195",0.100550133911031
"196",0.874804307088036
"197",0.130922082950106
"198",0.996581533807571
"199",0.79839371451927
"200",0.907392188071066
"201",0.999999999923051
"202",0.594876032128242
"203",0.521836292400251
"204",0.125110352970088
"205",0.911032792113058
"206",0.0598637716271515
"207",0.00633739737248356
"208",0.264772626476736
"209",0.0220068964428049
"210",0.999516727188104
"211",0.294862513182381
"212",0.139343485596959
"213",0.841573205932625
"214",1
"215",0.745512067359391
"216",0.074721810434543
"217",0.0606918649888612
"218",0.0823764254513414
"219",0.0102742526069861
"220",0.696086916526822
"221",0.141840746626849
"222",0.999999999914774
"223",0.853788994679824
"224",0.0853739325349064
"225",0.917882527467586
"226",0.125331823689692
"227",0.90422785784046
"228",0.253067808439029
"229",0.0788375017799938
"230",0.114086427651905
"231",0.808566835466408
"232",0.0982243695233122
"233",0.745094996377312
"234",0.620829989510745
"235",0.861096604453743
"236",0.111273664280612
"237",0.932468192981562
"238",0.0299673603885552
"239",0.651118829078345
"240",0.579200714916557
"241",0.55135915539264
"242",0.0606958440057662
"243",0.204885300392948
"244",0.702637443463242
"245",0.425546010579146
"246",0.0508483124237965
"247",0.0349593215927189
"248",0.0719293868838847
"249",0.932418945718446
"250",0.0169864626578512
"251",0.174015676896815
"252",0.22249236561802
"253",0.0338213750232815
"254",0.307393994352915
"255",0.789947457577201
"256",0.485844151283731
"257",0.165997333673538
"258",0.961092304356946
"259",0.719949742135279
"260",0.977159805113753
"261",0.977985546396383
"262",0.30155282808761
"263",0.999267640237274
"264",0.154285404271503
"265",0.766005534615476
"266",0.122258843650218
"267",0.734831090268267
"268",0.00464003626790111
"269",0.970269758026023
"270",0.936116431604881
"271",0.904477470010701
"272",0.517076406474256
"273",0.0239463613631221
"274",0.226246516770676
"275",0.899739159228122
"276",0.999984101026507
"277",0.0500388259537944
"278",0.979493536998864
"279",0.999999998992011
"280",0.999999983131967
"281",0.845167559597343
"282",0.989071743175098
"283",0.909345020483178
"284",0.993724581394306
"285",0.836120544553356
"286",0.465206850538197
"287",0.175036310574317
"288",0.0550598600726006
"289",0.201502758084296
"290",0.69911317792056
"291",0.999999991347152
"292",0.136085318456733
"293",0.997712349746276
"294",0.39780028307094
"295",0.986494202546168
"296",0.670259911373468
"297",0.313366247815261
"298",0.791190456412874
"299",0.97468333103229
"300",0.0765220110021455
"301",0.999999998949468
"302",0.0257793792801553
"303",0.97371064069444
"304",0.00430097465670211
"305",0.998835290280148
"306",0.947205397132447
"307",0.997023924551465
"308",0.757665241914894
"309",0.986303620246531
"310",0.0987074095418627
"311",0.00381239633701616
"312",0.471304990546392
"313",0.502769491263044
"314",0.999999999487419
"315",0.0306064604693741
"316",0.0138788542631291
"317",0.497986488605969
"318",0.994174551032836
"319",0.942041858560846
"320",0.401502053154444
"321",0.849054573301957
"322",0.997154908148383
"323",0.512380733579815
"324",0.990127316711657
"325",0.0172898754601568
"326",0.371264641959057
"327",0.335735424275931
"328",0.00702595396407606
"329",0.99999998580813
"330",0.0885975318775734
"331",0.497703483621151
"332",0.0472043333401655
"333",0.622313644816054
"334",0.986266961301541
"335",0.0981455986952453
"336",0.159995748149498
"337",0.408828403453834
"338",0.996314781819319
"339",0.999992055350586
"340",0.164433957605113
"341",0.176674946206408
"342",0.989536886719532
"343",0.234291004973474
"344",0.786817429930603
"345",0.00542943671285689
"346",0.0332282447613661
"347",0.0303322623132133
"348",0.0775184493200639
"349",0.0328618139539524
"350",0.263464140909301
"351",0.973933313351763
"352",0.997638047851161
"353",0.996367053823556
"354",0.324733860077716
"355",0.0983376908601203
"356",0.00716801739556693
"357",0.00780303215221521
"358",0.225080935377502
"359",0.239757162954626
"360",0.633564248320297
"361",0.479117518864775
"362",0.999999999827587
"363",0.99207310037862
"364",0.590105537639883
"365",0.244317295655459
"366",0.0688882671234395
"367",0.120853077893908
"368",0.176866292241519
"369",0.378980644529117
"370",0.66600030721475
"371",0.0978935527357083
"372",0.485447339337354
"373",0.0109604940781204
"374",0.0157505748408548
"375",0.0525268032348319
"376",0.121803530634451
"377",0.963724808238563
"378",0.900522373026352
"379",0.99858370677742
"380",0.828316947797979
"381",0.0427756682702392
"382",0.990848504584133
"383",0.0106386671718172
"384",0.0295620896796802
"385",0.715325483670014
"386",0.626981018702985
"387",0.999999998758206
"388",0.143061968218032
"389",0.509736651771825
"390",0.966029520881381
"391",0.0183823271273891
"392",0.707515992012252
"393",0.320677103745667
"394",0.446796455150526
"395",0.198473331356413
"396",0.89824361825899
"397",0.304072228200378
"398",0.0363645829340703
"399",0.928897134642131
"400",0.80965545316571
"401",0.922932247956317
"402",0.985038997713078
"403",0.936760958387246
"404",0.573361237601538
"405",0.999997776722598
"406",0.799090702322123
"407",0.8965646635872
"408",0.27935965751599
"409",0.288950241206268
"410",0.308421524584652
"411",0.998284571929085
"412",0.00782536896495268
"413",0.207377363152283
"414",0.99952843967005
"415",0.483724005062112
"416",0.384132664173579
"417",0.0705715921093775
"418",0.970600226151194
"419",0.866844530192482
"420",0.39537779605777
"421",0.191520600053752
"422",0.126719558054964
"423",0.991180277578606
"424",0.0599910959948472
"425",0.0349530589036382
"426",0.770427003227637
"427",0.400643339567064
"428",0.0921680255471662
"429",0.0395350258830951
"430",0.647121974044878
"431",0.972433643828985
"432",0.00111532517686541
"433",0.999498698638362
"434",0.956510427026948
"435",0.667210278922534
"436",0.999999989730021
"437",0.977599293893538
"438",0.936333454513101
"439",0.741761108082089
"440",0.0596835638449374
"441",0.122037849064297
"442",0.912029459595998
"443",0.0874758910890808
"444",0.942402904877643
"445",0.450168097272802
"446",0.723748725607469
"447",0.457102058427329
"448",0.316956691651107
"449",0.99999999135313
"450",0.623704797911991
"451",0.960554313221805
"452",0.142885569279729
"453",0.27604764060038
"454",0.0661504445441301
"455",0.912068387596109
"456",0.0704694570502076
"457",0.0474675962256866
"458",0.0323758781510267
"459",0.00287325586018267
"460",0.0317186588051563
"461",0.143527067691583
"462",0.0439718151696042
"463",0.697056210156844
"464",0.0385681227838191
"465",0.0139265912303373
"466",0.957529754360038
"467",0.838193032532511
"468",0.992769193511298
"469",0.0140175999729822
"470",0.2488748443476
"471",0.00407900753988176
"472",0.0763665534632068
"473",0.0849714034601807
"474",0.217839104663062
"475",0.813504286182183
"476",0.878893535623921
"477",0.782210380288575
"478",0.999999982262566
"479",0.997886330411472
"480",0.209598236437257
"481",0.443211222295573
"482",0.00408099103572388
"483",0.890150617245804
"484",0.0363381297553058
"485",0.0322132847859463
"486",0.172431552403373
"487",0.701212846859726
"488",0.387442563099744
"489",0.999999999419308
"490",0.0979729615208756
"491",0.0928292291120418
"492",0.628056089063549
"493",0.0500537632004426
"494",0.999524078626883
"495",0.99819119209886
"496",0.111287876668393
"497",0.981229353466302
"498",0.939692707612594
"499",0.436522035291918
"500",0.117151339554725
"501",0.29526250888393
"502",0.159787047522282
"503",0.0243028501378687
"504",0.99999997179436
"505",0.602575832354875
"506",0.673857844858936
"507",0.0110818259427453
"508",0.309852121350155
"509",0.999999848238337
"510",0.0720119846002035
"511",0.402649475352185
"512",0.864419940607055
"513",0.418063244317849
"514",0.639699041152168
"515",0.102338399235658
"516",0.210520921920077
"517",0.135073921761245
"518",0.943938442073271
"519",0.997630895512113
"520",0.167760731210699
"521",0.182255648451563
"522",0.124687334348404
"523",0.785607681210362
"524",0.007511795750997
"525",0.0492649626396254
"526",0.155137359322157
"527",0.997046151306051
"528",0.998007282694585
"529",0.791334657221735
"530",0.403574765637337
"531",0.120375714936175
"532",0.547199628476435
"533",0.891802377897304
"534",0.626355271873862
"535",0.240887931859646
"536",0.843031920117547
"537",0.996842608353171
"538",0.692682681404614
"539",0.189570094449957
"540",0.155809138707434
"541",0.0336498798369467
"542",0.738457595368574
"543",0.472704041081152
"544",0.597729359938328
"545",0.400655540456211
"546",0.87639309827592
"547",0.999999999546839
"548",0.999494543787799
"549",0.978152594998981
"550",0.545790798409796
"551",0.89380303006355
"552",0.0624763733812942
"553",0.783045024438814
"554",0.10413132557041
"555",0.468064022249062
"556",0.629902857191697
"557",0.881689930253878
"558",0.469254319431603
"559",0.999317680611951
"560",0.0799411119153984
"561",0.6875494310784
"562",0.0400436208725717
"563",0.34362641591216
"564",0.917709986792311
"565",0.858041486214692
"566",0.473172334091365
"567",0.276421102310134
"568",0.140503465215744
"569",0.133669269438673
"570",0.461684734456476
"571",0.113114781556534
"572",0.328216694301431
"573",0.140198107062308
"574",0.022904049799948
"575",0.99246866832407
"576",0.0838256074771973
"577",0.0187244345703934
"578",0.864856906151846
"579",0.522560389792333
"580",0.0354350107360268
"581",0.618614694801644
"582",0.600174963389176
"583",0.998058986598806
"584",1
"585",0.648262051962766
"586",0.277922906885168
"587",0.645944635670981
"588",0.924202149644541
"589",0.999999214205791
"590",0.54383984620038
"591",0.719917754424269
"592",0.986291429768926
"593",0.0299730816849696
"594",0.871890490039449
"595",0.344862167055023
"596",0.999999996869116
"597",0.420955451803665
"598",0.70233940600355
"599",0.783122082148431
"600",0.00587887910999089
"601",0.0187920734060419
"602",0.00810460872230234
"603",0.322371499047737
"604",0.86666042053765
"605",0.862642448486663
"606",0.754114092619135
"607",0.832531240977006
"608",0.684906808619382
"609",0.993760393726905
"610",0.999999990701581
"611",0.88394994453018
"612",0.83738838071144
"613",0.99990282144773
"614",0.871992504906555
"615",0.919799030481032
"616",0.559249853352098
"617",0.906728483547814
"618",0.434847358517045
"619",0.758400629530175
"620",0.00453549068908818
"621",0.996543993155728
"622",0.0654067853612458
"623",0.0084293259743654
"624",0.998510979675966
"625",0.0508659489222199
"626",0.146746833987663
"627",0.726649121835754
"628",0.0760879909312511
"629",0.733724730163666
"630",0.0680018873600828
"631",0.255792036908144
"632",0.62826020040457
"633",0.990379833593484
"634",0.341535384733395
"635",0.237958851863137
"636",0.865005453779244
"637",0.989818854882027
"638",0.0533798433345372
"639",0.996873376088256
"640",0.716817789891573
"641",0.992123541657343
"642",0.963583470263505
"643",0.0374124519491671
"644",0.999413044041967
"645",0.34010948583587
"646",0.813089101593849
"647",0.765500924452683
"648",0.0342354500939902
"649",0.999999997063178
"650",0.584571486927959
"651",0.708293216992894
"652",0.024729580880771
"653",0.999999998252506
"654",0.548326162612202
"655",1
"656",0.260952834795362
"657",0.184289394506445
"658",0.949501570852181
"659",0.632290411193764
"660",0.0665108792784483
"661",0.067857438717022
"662",0.918249464923407
"663",0.999999979240379
"664",0.195542273150104
"665",0.00451358955591583
"666",0.997205323315619
"667",0.206083837426561
"668",0.993379716931291
"669",0.215416840502946
"670",0.627290710345292
"671",0.273484158954618
"672",0.999999999300993
"673",0.380065780209024
"674",0.208262346613396
"675",1
"676",0.714386215105864
"677",0.00430175477668371
"678",0.604664779266859
"679",0.546399718492098
"680",0.979277932343794
"681",0.0996931448380108
"682",0.0372557210956632
"683",0.364115106861609
"684",0.0342349556102162
"685",0.0312713421965046
"686",0.00201977807533454
"687",0.931141337217293
"688",0.860375583934084
"689",0.324701404882789
"690",0.999763598414263
"691",0.0233169144558956
"692",0.109538197045525
"693",0.999778099143617
"694",0.258184609488227
"695",0.892208424044104
"696",0.520134138327299
"697",0.6812694901296
"698",0.766290572221279
"699",0.604108949132901
"700",1
"701",0.935433410411763
"702",0.942375001359014
"703",0.893262605601006
"704",0.901099291553523
"705",0.999999994102654
"706",0.21802114675247
"707",0.0474988440381822
"708",0.256246977836198
"709",0.74974550960047
"710",0.336658064300449
"711",0.022107039258229
"712",0.9611569105836
"713",0.153652369606926
"714",0.147243959847468
"715",0.881835803488868
"716",0.969131421104746
"717",0.199545607653977
"718",0.00113389928809899
"719",0.965803036495739
"720",1
"721",0.0143569547303238
"722",0.0660502176372054
"723",0.910883521708293
"724",0.838538170944117
"725",0.0959550093492559
"726",0.584562381617133
"727",0.878785936796782
"728",0.231661179769478
"729",0.520899693614968
"730",0.240229319513024
"731",0.99951944416713
"732",0.398025153493722
"733",0.944464751070094
"734",0.141597634133734
"735",0.959412112442577
"736",0.876658196423866
"737",0.970322989102526
"738",0.256529041704091
"739",0.0763710812200622
"740",0.012631274967962
"741",0.798318937585657
"742",0.954587146532976
"743",0.999866643647141
"744",0.991312640529178
"745",0.00895355284782785
"746",0.0357355892711052
"747",0.0188953516437988
"748",0.0455440844747518
"749",0.138791896426534
"750",0.201342898594369
"751",0.00168520730181217
"752",0.482977651659379
"753",0.0283408298372364
"754",0.135764195674241
"755",0.999913127521352
"756",0.962805191294849
"757",0.0622730720613624
"758",0.0326687102514489
"759",0.418203307629891
"760",0.746887881381168
"761",0.0199897582167894
"762",0.99177514152714
"763",0.216859469108725
"764",0.0885060827427156
"765",0.825274500547266
"766",0.201917345014839
"767",0.102861801312905
"768",1
"769",0.539698180657992
"770",0.358199728589061
"771",0.0683395615162422
"772",0.310580392553786
"773",0.285285755144004
"774",0.118296267761695
"775",0.545145967862549
"776",0.958219891844053
"777",0.934931339704514
"778",0.205702109797565
"779",0.0057749872938275
"780",0.984588758203266
"781",0.249130714545912
"782",0.989174028064169
"783",0.591361774252076
"784",0.999999997734794
"785",0.691780250341914
"786",0.00528368303899495
"787",0.00413011044308732
"788",0.303576475986697
"789",0.391362415511026
"790",0.00198043709226314
"791",0.967486853106264
"792",0.163061291377893
"793",0.852005985802459
"794",0.476186855923421
"795",0.155826387492016
"796",0.160554154549235
"797",0.699398152015974
"798",0.999999999942992
"799",0.124252392560958
"800",0.324666557319243
"801",0.999999972753692
"802",0.145694238807237
"803",0.520721237538307
"804",0.0107761813324188
"805",0.285701956969305
"806",0.988755548885549
"807",0.0197813747868015
"808",0.991902422951641
"809",0.998781913404104
"810",0.185160704727297
"811",0.115836365056927
"812",0.970490195308907
"813",0.329630800006257
"814",0.677493999374553
"815",0.224753669293005
"816",0.0263787038983006
"817",0.917900984786537
"818",0.537172268180072
"819",0.377658104348276
"820",0.068999304430742
"821",0.0922203875189071
"822",0.591408628214535
"823",0.954323979427925
"824",0.477541905979028
"825",0.997657682855897
"826",0.955327285123135
"827",0.167688249624466
"828",0.999999996861716
"829",0.976627516341898
"830",0.996321469769758
"831",0.0145364557907529
"832",0.5752892902513
"833",0.0987067262098624
"834",0.0406541384310965
"835",0.78548480816218
"836",0.975342950337423
"837",0.977861277440435
"838",0.542471612736049
"839",0.253700025882932
"840",0.136017963455045
"841",0.0712706136506052
"842",0.128068970462019
"843",0.999999997590491
"844",0.315145943563291
"845",0.0950259239679085
"846",0.329752965638353
"847",0.440314968650324
"848",0.021614661527187
"849",0.753335343923343
"850",0.979455892040786
"851",0.0792483092178437
"852",0.300350765872371
"853",0.303268323663766
"854",0.0328166110886166
"855",0.109669651391777
"856",0.706789086529331
"857",0.958846786565936
"858",1
"859",0.00643856577611139
"860",0.29185632403232
"861",0.00487929260318719
"862",0.999950113638738
"863",0.087897215522627
"864",0.344547988232733
"865",0.987920182794042
"866",0.864734162854733
"867",0.0234002390087291
"868",0.737839917325897
"869",0.321875780277748
"870",0.934781269562205
"871",0.128141336641805
"872",0.91365929105207
"873",0.863765721093384
"874",0.222809809190834
"875",0.157614076346238
"876",0.115652993776356
"877",0.80986537826676
"878",0.962171503450719
"879",0.95228735363739
"880",0.999525295607227
"881",0.963985206894081
"882",0.827682529006744
"883",0.786482869098741
"884",0.410397477300577
"885",0.98925339785965
"886",0.00240058420511638
"887",0.188872345414801
"888",0.651159668791779
"889",0.999137472135472
"890",0.0863158382633188
"891",0.0234615505065663
"892",0.999981327064604
"893",0.103603570032276
"894",0.00416689761298431
"895",0.0208061713227243
"896",0.970274906979472
"897",0.997197612470704
"898",0.765524851014352
"899",0.528846525192378
"900",0.991640752747704
"901",0.944719430678205
"902",0.310143946351215
"903",0.0978536703417225
"904",0.159439398279102
"905",0.0297624994630428
"906",0.575042905353307
"907",0.470247193326952
"908",0.966132030389563
"909",0.021074812802287
"910",0.195220775516112
"911",0.995146312524428
"912",0.856080641058503
"913",0.112898773840064
"914",0.40868999976632
"915",0.00930236601310418
"916",0.160565127832765
"917",0.677554541698737
"918",0.0267914312043693
"919",0.2072988297725
"920",0.845950780095253
"921",0.82285692807892
"922",0.469731561020919
"923",0.798353777680479
"924",0.908144828535902
"925",0.348294245099375
"926",0.0333888648714986
"927",0.0865301502625805
"928",0.0753441316758704
"929",0.60634600096826
"930",0.982901921190585
"931",0.962774318402486
"932",0.00906526745831933
"933",0.999999960777886
"934",0.94201871943348
"935",0.89861350913117
"936",0.0236226497810816
"937",0.0076203747679713
"938",0.104373164469461
"939",0.976616146274311
"940",0.673026484191611
"941",0.115301483008367
"942",0.390114510223583
"943",0.00311370145042096
"944",0.129371350886154
"945",0.494041713686574
"946",0.942609486619892
"947",0.462828092930875
"948",0.696903147833776
"949",0.188961608476626
"950",0.042405303258352
"951",0.0543733471101427
"952",0.128373680422058
"953",0.297206560926354
"954",0.0217512239020027
"955",0.0643030318554306
"956",0.785820759363216
"957",0.986679223538951
"958",0.0706588741438341
"959",0.61971583673718
"960",0.999634944329507
"961",0.893271163705471
"962",0.286691269209348
"963",0.0796400830205729
"964",0.0409207832735074
"965",0.223475740929262
"966",0.790573330399289
"967",0.986057924659594
"968",0.0023530763298968
"969",0.999401580150493
"970",0.0663135303934419
"971",0.999999986911708
"972",0.0609591144558558
"973",0.422793588990983
"974",0.994733029671736
"975",0.0550011957651794
"976",0.306029876842021
"977",0.999999995617323
"978",0.885735533270852
"979",0.0097998644463911
"980",0.0771001022977968
"981",0.760812134954256
"982",0.0964663220174115
"983",0.0430783627246366
"984",0.985166468031229
"985",0.0481573981991677
"986",0.974333493129752
"987",0.329288630350414
"988",0.970096949366008
"989",0.991392455380679
"990",0.718045609935663
"991",0.944026581542506
"992",0.999999999873057
"993",0.527956941531546
"994",0.550710019869607
"995",0.171678514241275
"996",0.639000175543774
"997",0.965668298913117
"998",0.428005926028273
"999",0.999999867821904
"1000",0.0505284300867764
"1001",0.114898678375167
"1002",0.0874749629779061
"1003",0.341645862737751
"1004",0.127487241863862
"1005",0.20544853140188
"1006",0.977319981075632
"1007",0.0364906484027062
"1008",0.207848526079657
"1009",0.878187128614763
"1010",0.317607647174802
"1011",0.00381336596369446
"1012",0.134666482540901
"1013",0.20908974194201
"1014",0.683193657388031
"1015",0.813960000247285
"1016",0.316852839182243
"1017",0.996773008055283
"1018",0.0220789701044851
"1019",0.138066042759142
"1020",0.518083702771485
"1021",0.129240442802415
"1022",0.059205884987336
"1023",0.999999991353131
"1024",0.815360740608926
"1025",0.452616255951033
"1026",0.313949730423702
"1027",0.18403511883184
"1028",0.684059431270017
"1029",0.999943976185827
"1030",0.985096620321686
"1031",0.112335514308763
"1032",0.127897088843237
"1033",0.970420351058939
"1034",0.208682088487578
"1035",0.396783732624905
"1036",0.974387339178972
"1037",0.991420189842559
"1038",0.0100401289890178
"1039",0.00883321705023769
"1040",0.874638264223468
"1041",0.999996775062035
"1042",0.798959061606633
"1043",0.18117367588968
"1044",0.864259606221291
"1045",0.227655032529641
"1046",0.0583680054985331
"1047",0.0432497558346651
"1048",0.107814703949779
"1049",0.044016592884209
"1050",0.611990966962361
"1051",0.0191603165459605
"1052",0.274908832923137
"1053",0.0837665221873009
"1054",0.510707026519784
"1055",0.0333913399245522
"1056",0.0430176337514001
"1057",0.157433522630553
"1058",0.972952696961085
"1059",0.816360642713911
"1060",0.0188355270696682
"1061",0.199433629752664
"1062",0.104542011818543
"1063",0.2201229424345
"1064",0.00234110672159067
"1065",0.990132571342569
"1066",0.999953795293996
"1067",0.0259800357713181
"1068",0.135396426435348
"1069",0.508605740182752
"1070",0.106366223277604
"1071",0.905663588628628
"1072",0.174524223109319
"1073",0.0782845717244188
"1074",1
"1075",0.119351684202087
"1076",0.485426500268492
"1077",0.00782976040446202
