"","Estimate","Std. Error","z value","Pr(>|z|)"
"ATSC3i",1249458154563020,10521306.5305271,118755037.783357,0
"ATSC4i",-196740894576961,10687318.6933106,-18408817.049697,0
"ATSC5i",229832108906873,9234578.55309282,24888207.684356,0
"ATSC6i",-687005248944517,8001447.54053029,-85860120.3675436,0
"ATSC7i",-384575084367894,7095219.54657115,-54201999.2254848,0
"ATSC8i",-127327639091656,5253856.13293062,-24235082.9314834,0
"ATSC1s",2308821967597998,29018706.9189336,79563227.0606649,0
"ATSC2s",-483456138194874,22240756.3489327,-21737396.4540588,0
"ATSC3s",289901412168331,8965702.75121843,32334488.4625953,0
"ATSC4s",489800377026193,9949382.77193168,49229222.3803043,0
"ATSC5s",923795126045729,8478695.43058196,108954866.18303,0
"ATSC6s",97575485076022.4,8844772.33575763,11031995.1008286,0
"ATSC7s",-186483262635645,6660275.67980591,-27999330.8987294,0
"ATSC8s",175385421378321,5514550.01121344,31804122.0084482,0
"AATSC3c",-3010778382630834,40735096.3484107,-73911163.8985556,0
"AATSC4c",-4275139704815319,46127569.6320594,-92680792.396312,0
"AATSC5c",-4988904264300289,61141363.8105138,-81596221.5000903,0
"AATSC7c",3103213451960016,37904232.711674,81869839.5919322,0
"AATSC8c",848933199969753,19584397.4988161,43347424.9090927,0
"AATSC1m",-583805515670921,35108690.6775076,-16628518.5919775,0
"AATSC2m",228475256609650,21422885.2295616,10665008.6653303,0
"AATSC3m",-1972957728033311,17648128.0798357,-111794164.180368,0
"AATSC4m",-520011588622470,22055300.5036636,-23577624.2783947,0
"AATSC5m",-1403221117006904,18338033.0363361,-76519718.0213643,0
"AATSC6m",103638190730057,18121204.1079195,5719166.90043595,0
"AATSC7m",1065612180357329,24376696.0344447,43714381.0978978,0
"AATSC8m",-75609620697510.2,9141701.29957595,-8270847.86734582,0
"AATSC0v",-178062385613955,31098672.7096783,-5725723.00034335,0
"AATSC1v",-2542984524550444,45119306.1464901,-56361339.3409479,0
"AATSC2v",-416989849182136,34907166.2721403,-11945680.3205174,0
"AATSC3v",-858650917255962,25814667.7281003,-33262133.2298338,0
"AATSC4v",963135690553532,18285180.3699056,52673021.0514465,0
"AATSC5v",1314684133405681,19744640.0584855,66584355.5269411,0
"AATSC6v",667939451668669,21055193.7683559,31723263.1063468,0
"AATSC7v",-922524445195313,16352901.1133355,-56413503.5613351,0
"AATSC8v",1184930978154442,16279994.8037186,72784481.3490842,0
"AATSC1e",525852324203244,24124673.778606,21797282.2774323,0
"AATSC2e",-103338310304272,21986179.6957185,-4700148.53578203,0
"AATSC3e",1835105548241142,15340477.9486503,119625056.949585,0
"AATSC4e",1086436475567228,18106362.2848717,60003023.1624701,0
"AATSC5e",1386235640827434,15846027.6793776,87481586.4818612,0
"AATSC6e",-250311654159206,13537083.3564588,-18490811.3193953,0
"AATSC7e",45463167873932.4,11722018.1741344,3878442.0224028,0
"AATSC8e",-330441713339228,10271537.8375979,-32170617.3470617,0
"AATSC0p",-853647801106512,102379229.089697,-8338095.61467405,0
"AATSC1p",1872103291478142,32842270.8922599,57002857.6166256,0
"AATSC2p",900244235952172,21474573.9472267,41921401.475275,0
"AATSC3p",3041495684727636,22921176.4736485,132693698.69493,0
"AATSC4p",166419954582885,30556293.5332916,5446339.70090538,0
"AATSC5p",1010705056204176,17769423.1857436,56878889.4067796,0
"AATSC6p",231533839198974,16975383.9395127,13639387.4815429,0
"AATSC7p",-993164544377726,19254161.1607328,-51581813.2032259,0
"AATSC8p",127375779739619,16681721.9405402,7635649.37682291,0
"AATSC0i",-2371587333638022,41766559.5946549,-56781965.2050424,0
"AATSC1i",-1807586582736536,22666763.8394277,-79746125.0111201,0
"AATSC3i",-2123331848429408,14244471.5798962,-149063574.350217,0
"AATSC4i",-619621492647317,13114992.001612,-47245281.7791394,0
"AATSC5i",-441184522097049,10589978.6356693,-41660567.719282,0
"AATSC6i",822605302430083,8526340.68564148,96478117.9592514,0
"AATSC7i",82675031548723.7,7533349.51705024,10974538.1336157,0
"AATSC8i",-5488155493297.55,5183274.62063876,-1058820.12723092,0
"AATSC1s",-849665226213625,24823697.7666786,-34227987.8767357,0
"AATSC2s",425292270631616,21898355.9359894,19421196.3617167,0
"AATSC3s",-636147371964357,16324717.2064958,-38968354.7909317,0
"AATSC4s",-44912210187525.6,14108702.2678288,-3183298.45898981,0
"AATSC5s",-739190896147742,12763068.3131127,-57916394.2410541,0
"AATSC6s",125382985882324,11358375.9405628,11038812.8143002,0
"AATSC7s",118440515127406,10209720.5883954,11600759.6977754,0
"AATSC8s",604756371351967,10699581.5078134,56521497.6782357,0
"MATS1c",320254165062929,25042389.7256943,12788482.5917527,0
"MATS2c",67112154812086.2,27228765.1232333,2464752.05571559,0
"MATS3c",628737586678903,22154976.1501609,28379068.5405154,0
"MATS4c",1269948703016758,20047221.998695,63347864.512072,0
"MATS5c",-184404605646143,14042900.7544774,-13131518.1151122,0
"MATS6c",419434834340866,9685649.35795394,43304771.7132587,0
"MATS7c",-103078353785223,9381191.05355605,-10987768.3118019,0
"MATS8c",67021243352487.7,7101539.53984328,9437565.33023074,0
"MATS1m",122092104675831,13934488.0561602,8761865.10647272,0
"MATS2m",-374694575087538,13499309.3200988,-27756573.7774203,0
"MATS3m",-478637981700139,11688144.437905,-40950724.4065107,0
"MATS4m",-626985979127116,12734517.6990438,-49235157.0703142,0
"MATS5m",-1274848830141802,12414358.6026435,-102691477.743388,0
"MATS6m",-437926664147285,12234265.4826927,-35795092.4611537,0
"MATS7m",-108711350780581,11986692.0927378,-9069337.05642149,0
"MATS8m",200331507814005,10655639.0726218,18800515.5250358,0
"MATS1e",166502151546195,11950219.2848972,13932978.7660568,0
"MATS2e",-301714920352221,15552373.2127377,-19399927.9868818,0
"MATS3e",-281064787126146,10107057.504541,-27808765.0139388,0
"MATS4e",-54640111038945,11192331.3953632,-4881923.98069822,0
"MATS5e",1133334223493781,11874390.5356449,95443569.9324279,0
"MATS8e",732119725374570,11196066.0330164,65390800.9487979,0
"MATS1p",395114345526484,31804287.9546922,12423304.244049,0
"MATS4p",528977891450447,21445312.6167361,24666364.202946,0
"MATS7p",1168929391732402,15097018.1567406,77427832.4101038,0
"MATS8p",-564932730153760,15769326.9055148,-35824783.9960876,0
"MATS3i",740316547067852,17318772.6358097,42746478.7855181,0
"MATS4i",944488694570312,11550353.4532384,81771410.5801241,0
"MATS1s",-499101583135403,9070546.91791701,-55024419.9883395,0
"MATS2s",-197601499761803,10094771.7320274,-19574637.7439003,0
"MATS3s",288414308930111,6812462.89095933,42336275.9616437,0
"MATS4s",-417962837237853,7001033.61849935,-59700161.4352255,0
"MATS5s",-549554390290718,7536303.53956038,-72920946.9079818,0
"MATS6s",-79554815053042.4,6000834.38529277,-13257292.227231,0
"MATS7s",-255579612490601,6440359.18109873,-39684061.9139194,0
"MATS8s",-854887340188821,8896968.32012718,-96087488.392518,0
"GATS1c",924608993190385,16326098.7848713,56633798.7644166,0
"GATS2c",-197182940770569,16416397.4907245,-12011340.5442321,0
"GATS3c",-161718298753294,7156407.03656284,-22597694.3355873,0
"GATS4c",106030470918618,6888185.00486635,15393092.7876807,0
"GATS5c",-576163770320574,6639123.43714633,-86783108.6099257,0
"GATS6c",127233245409427,5936058.53789725,21433960.6991977,0
"GATS7c",64280724190373.1,6107558.2479072,10524782.8315676,0
"GATS8c",-101881981561178,5661726.69583272,-17994860.4082509,0
"GATS1m",891807706297905,23774586.2464549,37510966.4182225,0
"GATS2m",-420242114192137,18300393.2042015,-22963556.5478263,0
"GATS3m",-139140149130513,9876180.04674494,-14088458.1358327,0
"GATS4m",273711937614244,11311573.1673048,24197512.8981516,0
"GATS5m",-949096362447577,9546072.41832571,-99422707.1466152,0
"GATS6m",-162980159529849,9518898.71603121,-17121745.3186435,0
"GATS7m",751730799058757,11855716.2122206,63406612.1019233,0
"GATS8m",501427273179750,11204811.1881846,44751068.5149699,0
"GATS2v",815739781349278,30860010.7194671,26433554.6984983,0
"GATS3v",-686202899228476,27167944.8322168,-25257814.0697175,0
"GATS5v",-6507055051310.98,15360068.1039035,-423634.518238712,0
"GATS6v",471648745444672,17133392.2699784,27528042.2004408,0
"GATS7v",-1204105737100157,16346875.0728818,-73659689.1902401,0
"GATS8v",1421930639610396,16403405.1643468,86685089.1850797,0
"GATS1e",-528870671489467,14056745.7650062,-37623976.4402707,0
"GATS2e",452086044060720,16133008.6783765,28022426.1372068,0
"GATS3e",-429465706484948,8133240.08115251,-52803766.0513879,0
"GATS4e",-228661206852961,9136367.2329296,-25027584.9277175,0
"GATS5e",1331848021819438,9595559.1843903,138798374.980172,0
"GATS6e",-86959134532881.6,8114350.4789527,-10716709.2127015,0
"GATS7e",-419486972018939,7979556.4599701,-52570211.6556627,0
"GATS8e",368702134981883,8857369.17267995,41626596.768612,0
"GATS1p",-106696854044545,46644794.5592467,-2287433.25064969,0
"GATS3p",646005807999342,14545413.6014512,44413024.3181872,0
"GATS4p",-490743165502747,14966684.0348343,-32789037.5958071,0
"GATS5p",498266258016521,12507891.5433192,39836151.1443278,0
"GATS6p",305636940738413,12535302.6473176,24382095.0588549,0
"GATS7p",610611658634669,15390332.0262583,39675015.3013509,0
"GATS8p",-782545465365401,16204320.5797178,-48292395.9394434,0
"GATS1i",185176178404042,19037970.6546516,9726676.32297236,0
"GATS2i",-1107877135494753,11204581.9296757,-98877150.6557063,0
"GATS3i",49833824249798.3,17326391.2640308,2876180.243791,0
"GATS4i",777790148476979,9990939.33167872,77849551.7444296,0
"GATS5i",-130465461176678,7296235.22417156,-17881202.7255456,0
"GATS6i",461647683507420,7488354.82646801,61648745.846778,0
"GATS7i",73173734760125.2,6380775.58089767,11467843.3416758,0
"GATS8i",-7009723415521.14,5922874.04646574,-1183500.33455531,0
"GATS1s",-644116467493660,11710623.0792734,-55002749.4808267,0
"GATS2s",-36551127168426.3,9315794.71869362,-3923565.11410461,0
"GATS3s",371610793038889,6024220.85927611,61686117.0464362,0
"GATS4s",-312120320816029,5738027.89168944,-54395051.1756979,0
"GATS5s",-842763191718008,5807846.93732161,-145107679.457314,0
"GATS6s",151360671737710,5323112.03616127,28434620.7086151,0
"GATS7s",-389356621422470,5880113.37414584,-66215835.7582737,0
"GATS8s",5855633467152.25,5234208.34434744,1118723.80347181,0
"SpMAD_DzZ",-170432324349839,21144462.8165238,-8060376.1764357,0
"SM1_DzZ",12867384319064544,163325902.251254,78783488.3610184,0
"VE1_DzZ",-564194938917818,11060277.4924155,-51010920.7752438,0
"VE2_DzZ",58062114672134.2,11628008.2889584,4993298.35594184,0
"VE3_DzZ",436999089918309,5257371.48934205,83121211.9600471,0
"VR1_DzZ",-208109738364661,14485000.2722612,-14367258.1603738,0
"VR2_DzZ",99670979796885,12450001.3823425,8005700.29961973,0
"VE1_Dzv",-340482394680303,9607672.05405754,-35438594.5694836,0
"VE2_Dzv",329895072796717,11292772.6152983,29212938.5789464,0
"VR1_Dzv",455287716561232,10512594.6603055,43308786.3912753,0
"VR2_Dzv",-133454365429169,8878087.13731845,-15031882.8104539,0
"VE2_Dze",428124468420612,7090126.46453122,60383192.1140377,0
"VE2_Dzp",53444341043842.6,5488590.09196711,9737353.33634436,0
"SpMAD_Dzs",-758951830427430,9077990.16326676,-83603508.7918973,0
"SM1_Dzs",-363624017805766,33566687.9759577,-10832883.4249662,0
"VE1_Dzs",170490687680288,7516213.52639512,22683055.3817512,0
"VE2_Dzs",9032129142780.19,8153323.21892702,1107784.99763301,0
"VE3_Dzs",-4856958553389.51,4630954.26390192,-1048802.96297661,0
"VR1_Dzs",-196910812975853,8262485.13091993,-23831911.3264086,0
"VR2_Dzs",276893871546935,8802831.89384395,31455090.2352883,0
"nBase",184360910164512,3234838.22430282,56992312.2521051,0
"BCUTw.1l",43956997207089.9,2118384.30734601,20750246.8058597,0
"BCUTw.1h",-228302743705517,9157608.57066276,-24930388.9704247,0
"BCUTc.1l",-2517701938038202,24167117.7668543,-104178825.225542,0
"BCUTp.1l",173710028770777,4170811.99454783,41648971.2309868,0
"BCUTp.1h",-339024170444570,6567738.6717537,-51619619.3832489,0
"nBondsD",-3512785137765948,70547574.4951117,-49793138.3595527,0
"nBondsT",-3771727095890801,43534757.0249042,-86637145.8954777,0
"SpMax1_Bhm",45715647085357.6,44148510.5561986,1035496.92864868,0
"SpMax2_Bhm",479033170490648,20705329.2346975,23135742.7385359,0
"SpMax3_Bhm",-166573553059761,13917892.2622297,-11968303.0965692,0
"SpMax4_Bhm",-45161113716210.8,10703841.8027709,-4219149.96020589,0
"SpMax5_Bhm",-155701545360343,8647683.51861483,-18005000.4171849,0
"SpMin1_Bhm",-414762478305473,10065752.328806,-41205313.2996839,0
"SpMin2_Bhm",-653241133879358,8343937.32129071,-78289314.5916284,0
"SpMin3_Bhm",-145034949126448,8526830.80956735,-17009244.3916812,0
"SpMin4_Bhm",-553408661452049,8197992.85211667,-67505384.7246479,0
"SpMax1_Bhv",-36115764743401.4,16398367.6797484,-2202399.98570123,0
"SpMax2_Bhv",7792611976634.05,11379971.7728603,684765.492583945,0
"SpMax3_Bhv",-444139567170763,10558259.3157955,-42065605.123594,0
"SpMin1_Bhv",99127782495406.1,8303212.5072778,11938485.5450249,0
"SpMin8_Bhe",-248889161406828,5052590.91106117,-49259709.6792377,0
"SpMax1_Bhp",-55493530908327,14598735.7004725,-3801255.94756337,0
"SpMax1_Bhs",-526645402472240,8211295.52347472,-64136700.5933045,0
"SpMax2_Bhs",-333607093268906,4744818.33046053,-70309771.6359832,0
"SpMax3_Bhs",-75799797628172.1,4729828.75408872,-16025907.3994268,0
"SpMax4_Bhs",-244464538140684,5258420.91809167,-46490104.5292133,0
"SpMin1_Bhs",558337059061467,11708002.2709481,47688499.3819066,0
"SpMin2_Bhs",428613715892024,5521992.80880404,77619390.4506104,0
"SpMin3_Bhs",191323636233289,5567071.06218694,34367018.8679305,0
"SpMin4_Bhs",122801106596255,6836488.15527813,17962600.6521266,0
"SpMin5_Bhs",180055054920464,6058122.48512673,29721263.5370969,0
"SpMin6_Bhs",-222304834447116,6267135.84993981,-35471519.9686075,0
"C2SP1",1741879492662324,12419629.5190184,140252129.904113,0
"C1SP2",1692389086675536,17605351.0039546,96129244.2448539,0
"C2SP2",10185456939735472,97536147.5179257,104427509.174109,0
"C3SP2",4427596718450516,44770844.8244531,98894643.0609286,0
"C1SP3",2904153676652751,31297241.9823418,92792638.9900842,0
"C2SP3",8573465760157395,81797500.1071601,104813298.070547,0
"C3SP3",4201001169425400,42576153.6673217,98670283.8929712,0
"C4SP3",2481664577490706,23525633.6858917,105487682.526442,0
"SCH.3",-2120740525372053,54325085.8127915,-39037959.9708372,0
"SCH.4",-847328304457038,15931979.6782448,-53184119.0843388,0
"SCH.5",-184295006240740,13877404.2519613,-13280221.7831691,0
"SCH.6",324345044464708,12475457.3603165,25998649.5963207,0
"SCH.7",-459282476826424,11184207.314314,-41065268.5451043,0
"VCH.5",202257777850294,8616083.04298353,23474446.2003534,0
"VCH.6",322568944359677,9398995.10919321,34319514.0131704,0
"SC.3",2813631601964752,78648162.4224466,35774918.5143292,0
"SC.4",-491009353985738,26575012.7568709,-18476354.4039613,0
"SC.5",410527841343157,19447082.6259229,21109996.2518761,0
"SC.6",-367096584762657,10870089.5134673,-33771256.83352,0
"VC.3",-151407854425962,31659904.0588137,-4782321.95981062,0
"VC.4",-633594033180170,16633994.1785444,-38090312.3073965,0
"VC.5",42493104215816,9518802.32319867,4464122.98238974,0
"ASP.0",-3625083968996715,164856246.586765,-21989363.7278028,0
"ASP.1",1650352406677895,105518025.611512,15640478.4596144,0
"ASP.2",-531890512562187,35684815.9493603,-14905233.4560723,0
"ASP.3",-578691999266403,14042356.3588399,-41210462.4379587,0
"ASP.4",307365373384835,9317914.19201411,32986499.6662302,0
"ASP.5",-115593134674078,7746851.10757936,-14921305.8401218,0
"ASP.6",394299174163084,5802548.86291973,67952753.7773598,0
"ASP.7",-250460050938214,4182919.79209326,-59876847.6057429,0
"AVP.0",-704079618882441,63971378.0733319,-11006166.1963158,0
"AVP.1",-205614468273220,26005442.8636306,-7906593.60624765,0
"AVP.7",536368194323004,5921476.28785554,90580147.2891231,0
"CrippenLogP",-96556363907805.4,6929026.55467576,-13935054.6784452,0
"SpMAD_Dt",24671939455623.4,9635980.27909174,2560397.46253496,0
"VE1_Dt",-148051170679069,6289154.92460624,-23540709.7541548,0
"VE2_Dt",368602951209378,6768302.85890452,54460173.9746968,0
"VE3_Dt",-284350140224398,4281903.83300012,-66407409.2540205,0
"VR1_Dt",-400844213571550,8878327.4629514,-45148617.8274278,0
"VR2_Dt",341800562737986,8600541.23935796,39741750.3416915,0
"nHBd",5969818090140993,80467183.7051502,74189474.7058098,0
"nwHBd",51947675812863.4,6155549.65832327,8439161.19539739,0
"nHBint2",-441037050522252,5870874.20661374,-75122892.2645641,0
"nHBint3",415310445054404,8133703.73461968,51060434.2873601,0
"nHBint4",210604912304942,7029775.81903192,29958979.8773903,0
"nHBint5",423655349511274,6546456.53785921,64715216.0960983,0
"nHBint6",266000771902790,7774259.47974246,34215576.7499031,0
"nHBint7",46607988612999.6,6238286.58149585,7471280.45563814,0
"nHBint8",-284567127184397,6794973.79781528,-41879061.7376466,0
"nHBint9",-68157535737762.7,5309440.40906074,-12837046.9365189,0
"nHBint10",-87666324930728.1,5652811.40329794,-15508446.8021668,0
"nHsOH",16549097348794772,463873131.376519,35675912.7214077,0
"nHdNH",-1876852307373142,17341566.3519619,-108228534.221236,0
"nHsSH",-803189988456470,9459602.88988235,-84907368.5022797,0
"nHsNH2",-4440167302175608,45579728.8356595,-97415395.2996277,0
"nHssNH",-3101553344769714,53135183.3446392,-58370991.6770736,0
"nHaaNH",-1245342535751740,16212573.8719849,-76813376.1847447,0
"nHdCH2",-433836898184675,7890540.90259524,-54981895.8598876,0
"nHdsCH",1136673171196315,23217431.1346427,48957749.2274881,0
"nHaaCH",-4897952855247773,84087055.3245979,-58248595.2961535,0
"nHCsats",856570639901722,19830246.0356923,43195159.4730588,0
"nHCsatu",250656045194305,5091754.67068554,49227832.3300595,0
"nHAvin",-13233206319609.6,2433972.40188132,-5436876.07525094,0
"nsCH3",-6466793307223027,83291293.1123133,-77640688.0669141,0
"nssCH2",-6271176375319428,106417376.239512,-58930003.6979394,0
"nsssCH",-4770979670830023,65691226.4641002,-72627349.611707,0
"ndssC",1454494078265486,32025750.1665079,45416393.7051684,0
"naasC",-3497175706120922,53054384.9172928,-65916808.0371248,0
"naaaC",-1074176775558418,18504755.5457613,-58048687.6955512,0
"nssssC",-3189803980632720,32437972.7416436,-98335491.1245017,0
"ndsN",382796401973842,10247269.6928396,37355940.9919038,0
"naaN",-1153176846445198,24181002.2188649,-47689373.5010514,0
"nsssN",1077722018151295,20886270.825239,51599542.4539345,0
"naasN",-44766844909064.9,5142039.46429933,-8706048.48910179,0
"nssssNp",318948486088818,9906729.69897878,32195133.5890083,0
"ndO",16135412960175312,528818409.005297,30512199.8126463,0
"nssO",48989378033577760,575002152.240016,85198599.4186831,0
"naaO",10671721821452130,133202197.32807,80116710.0507227,0
"nsOm",2562297316834108,91090808.0126,28129043.6734262,0
"ndS",-1460836612577070,13860769.8385648,-105393613.023757,0
"nssS",-606277560608717,19833409.7681463,-30568498.6946843,0
"naaS",-1672798101299669,19702380.3430292,-84903350.365557,0
"ndssS",26105998735594,4076157.63210032,6404560.64063999,0
"nddssS",-1402680482343205,37438474.4563627,-37466283.0874194,0
"ndsssAs",-112574371541262,76234244.6719156,-1476690.32500736,0
"SwHBd",-101853126368581,5921716.11216018,-17199934.012275,0
"SwHBa",-2737212841605458,45552759.2256273,-60088848.3625717,0
"SHBint3",-609136852412929,6799336.99008884,-89587683.8140023,0
"SHBint4",11078495307053.5,6334463.41933378,1748924.03249819,0
"SHBint5",-333407561897028,5656249.24508584,-58944991.1859335,0
"SHBint6",-805724175065.057,6719429.62416242,-119909.608423868,0
"SHBint7",-238521740252721,5108065.51634389,-46695121.5659903,0
"SHsOH",1420835656354555,13398080.4566498,106047702.949071,0
"SHsSH",557578037181399,8944073.61832137,62340501.7641219,0
"SssCH2",-484081325705825,23357664.198796,-20724731.7876407,0
"SsssCH",-1310818348756131,17941105.0705596,-73062297.0882163,0
"SdssC",614253500588740,9868058.93879163,62246638.8170921,0
"SaasC",105653874503192,10287933.0127035,10269689.1953642,0
"SssssC",-173216178247658,12320920.6713803,-14058704.1234681,0
"SssS",-1163777210937779,30759100.3681464,-37835216.1477052,0
"SaaS",-2083581849405643,37064124.4563764,-56215596.0774945,0
"SsBr",-160122808201512,8361852.16831087,-19149203.4274815,0
"SsI",264795658412620,4517098.47860262,58620740.6517592,0
"minHBd",-74741130000072.3,4964654.19296509,-15054649.7490158,0
"minHBa",-126016389918908,6361823.62066002,-19808218.1199852,0
"minwHBa",-145889112981212,5340494.53592396,-27317528.741928,0
"minHBint2",-259873752010601,4069518.7692465,-63858595.2654836,0
"minHBint3",125778456885027,2628927.64397702,47844016.2372633,0
"minHBint4",75682167507232.2,2638332.49666756,28685606.3831323,0
"minHBint5",206676632231600,2630034.27937888,78583246.5576872,0
"minHBint6",-79743073218375.2,2507878.96837784,-31797018.2069652,0
"minHBint7",21078769629659.6,2585719.60341936,8151993.5888582,0
"minHBint8",-83967674536368.1,3021605.39704477,-27789093.3801254,0
"minHBint9",-40549779078090,2937804.67958278,-13802748.4808312,0
