"","Estimate","Std. Error","z value","Pr(>|z|)"
"SpMin1_Bhs",243160021800133,9009907.49982022,26988070.832579,0
"SpMin2_Bhs",-240533478891679,4422232.61804921,-54391864.848979,0
"SpMin3_Bhs",-51388840830616,6253026.49195615,-8218234.94538561,0
"SpMin4_Bhs",-5373126530807.68,6377163.59729599,-842557.423661825,0
"C2SP1",5475694247601121,207321317.144863,26411631.5823666,0
"C1SP2",628216990784757,14172431.6826116,44326690.3558637,0
"C2SP2",1755231008432154,32668006.1906683,53729358.2653213,0
"C3SP2",609806038615228,15317513.3906789,39811033.4923103,0
"C1SP3",33571701227851.8,6232027.8517552,5386962.64304991,0
"C3SP3",50246979037106.4,7163445.78064029,7014358.81219376,0
"C4SP3",16203830139409.2,7185059.42104272,2255211.70944717,0
"SCH.3",-1742120256828448,35342991.6198834,-49291816.4813292,0
"SCH.4",-698949570290089,11021526.4113746,-63416766.8072496,0
"SCH.5",-365351523276086,9436259.61589356,-38717832.9282846,0
"SCH.6",-99048486432994.9,10659845.8351788,-9291737.23189527,0
"VCH.6",27282269409526.8,7855152.8523259,3473168.49492604,0
"SC.4",-700015418263756,14598238.1640269,-47952048.0758248,0
"SC.5",-413316504273574,18963254.8382289,-21795652.0544327,0
"SC.6",98655866697247,10104656.6690148,9763406.11351674,0
"VC.3",-1049581009737548,31701048.5785679,-33108715.856394,0
"VC.4",300235464182872,13668085.5205764,21966168.1023936,0
"VC.5",44413334940835.7,17687581.4417165,2510989.70694128,0
"VC.6",105533873986652,10682292.3868147,9879328.34687375,0
"VPC.4",307418727633296,27080311.5203991,11352111.9357037,0
"ASP.0",2104335571916190,36447699.1700365,57735758.9048078,0
"ASP.1",-3309685670841932,35419024.4781843,-93443727.4770364,0
"ASP.2",900034634061196,19575292.8993953,45978092.8278729,0
"ASP.3",327556425750714,11377123.184665,28790795.3912481,0
"ASP.4",90792729007254.4,7649772.79450576,11868683.0898381,0
"ASP.5",201700344005796,5004619.48024105,40302833.1728592,0
"ASP.6",111167621009896,4332247.70911216,25660495.0765104,0
"ASP.7",-279094830276614,3757565.61178913,-74275437.6399899,0
"AVP.0",-726583023660136,29010757.780116,-25045296.2713762,0
"AVP.1",1656020655822196,19803980.1357738,83620597.7015079,0
"AVP.4",-952766609458014,10097052.0435707,-94360869.4247235,0
"AVP.7",289706217400305,5906961.32009311,49044881.4037161,0
"CrippenLogP",203630880764469,9504993.52613704,21423568.5910275,0
"SpMAD_Dt",325972634260264,8294540.60314203,39299661.0489535,0
"VE1_Dt",122176602881653,4429959.60686113,27579620.0697689,0
"VE2_Dt",-87120632019294,4919684.25487815,-17708581.9954622,0
"VE3_Dt",99834094743000.2,3262580.81081735,30599730.8670462,0
"VR1_Dt",349707865556008,7922991.82480517,44138360.0146031,0
"VR2_Dt",-174737156257080,7933550.94119641,-22025087.8266534,0
"ECCEN",-156390164599342,6035738.91040299,-25910690.7904504,0
"nHBd",98103677077052576,3906946138.18801,25110066.4322319,0
"nwHBd",190154848939949,5771747.91156191,32945799.4100941,0
"nHBint2",141822096453830,9504825.36025058,14921062.8368759,0
"nHBint4",-146684438836406,5298778.00799105,-27682691.861254,0
"nHBint5",-16499060532751.1,6805926.23405378,-2424219.71166794,0
"nHBint7",27105830045686,6000205.93958572,4517483.28617492,0
"nHBint10",-40317923733246.1,4474214.83785411,-9011172.95310368,0
"nHsOH",-44877880267496112,1800259984.15771,-24928555.1322707,0
"nHdNH",-5220393531507899,204567642.883196,-25519155.7077706,0
"nHsSH",-2252517658740782,104752105.039226,-21503316.4049286,0
"nHsNH2",-28163586774192208,1107269763.47793,-25435162.8691914,0
"nHssNH",-52690395265962528,2075808045.20648,-25383076.9119702,0
"nHaaNH",-10169036095487048,410240593.988869,-24787981.1127686,0
"nHsssNHp",-225952580986232,2412564.06656517,-93656613.7735471,0
"nHdCH2",50851968241208.5,3880864.8866747,13103256.5487691,0
"nHdsCH",-102273612704408,9483689.30196092,-10784158.9330917,0
"nHaaCH",-513572796121963,58134946.8812171,-8834149.22819675,0
"nHCsatu",-372667267553477,9492373.48395186,-39259650.7273467,0
