parent_smiles,ring_fragment
Cc1ccc(C(=O)Oc2cc(C)c3c(c2)O/C(=C\c2ccc(C(C)(C)C)cc2)C3=O)cc1,Cc1ccc(C)cc1
CCCn1nc(C(=O)Nc2ccc(S(=O)(=O)N3[C@H](C)CCC[C@H]3C)cc2)c2ccccc2c1=O,Nc1ccc(S)cc1
CCCn1nc(C(=O)Nc2ccc(S(=O)(=O)N3[C@H](C)CCC[C@H]3C)cc2)c2ccccc2c1=O,C[C@@H]1CCC[C@@H](C)N1S
CCCn1nc(C(=O)Nc2ccc(S(=O)(=O)N3[C@H](C)CCC[C@H]3C)cc2)c2ccccc2c1=O,Cc1nn(C)c(=O)c2ccccc12
CSc1nc(-c2ccco2)nc(C)c1C(=O)NCC1(c2ccc(Cl)cc2)CC1,Cc1nc(C)c(C)c(S)n1
CSc1nc(-c2ccco2)nc(C)c1C(=O)NCC1(c2ccc(Cl)cc2)CC1,Cc1ccco1
CSc1nc(-c2ccco2)nc(C)c1C(=O)NCC1(c2ccc(Cl)cc2)CC1,Cc1ccc(Cl)cc1
CSc1nc(-c2ccco2)nc(C)c1C(=O)NCC1(c2ccc(Cl)cc2)CC1,CC1(C)CC1
CC[C@@H](C)c1ccc(OCCCCn2c(CNC(=O)[C@H]3CCCO3)nc3ccccc32)cc1,Cc1ccc(O)cc1
CC[C@@H](C)c1ccc(OCCCCn2c(CNC(=O)[C@H]3CCCO3)nc3ccccc32)cc1,C[C@H]1CCCO1
CC[C@@H](C)c1ccc(OCCCCn2c(CNC(=O)[C@H]3CCCO3)nc3ccccc32)cc1,Cc1nc2ccccc2n1C
COc1ccc(NC(=O)N[C@H]2CC(=O)N(CC3CCCCC3)C2)c(C)c1,Cc1cc(O)ccc1N
COc1ccc(NC(=O)N[C@H]2CC(=O)N(CC3CCCCC3)C2)c(C)c1,CN1C[C@@H](N)CC1=O
COc1ccc(NC(=O)N[C@H]2CC(=O)N(CC3CCCCC3)C2)c(C)c1,CC1CCCCC1
CCCCCOc1ccc([C@@H]2c3c(oc4ccccc4c3=O)C(=O)N2CCCN2CCOCC2)cc1OCC,Cc1ccc(O)c(O)c1
CCCCCOc1ccc([C@@H]2c3c(oc4ccccc4c3=O)C(=O)N2CCCN2CCOCC2)cc1OCC,C[C@@H]1c2c(oc3ccccc3c2=O)C(=O)N1C
CCCCCOc1ccc([C@@H]2c3c(oc4ccccc4c3=O)C(=O)N2CCCN2CCOCC2)cc1OCC,CN1CCOCC1
CCOc1cc(CNCCCN(C)C)ccc1OCc1ccc(Cl)cc1,Cc1ccc(O)c(O)c1
