"","Estimate","Std. Error","z value","Pr(>|z|)"
"ATSC3s",-207243465977876,16048973.2573304,-12913191.5577974,0
"ATSC4s",737295576698019,17915189.4248146,41154774.2652824,0
"ATSC5s",-200608483912422,15523739.7353725,-12922690.49418,0
"ATSC6s",-653955063229722,16951658.7431574,-38577644.4145145,0
"ATSC7s",-133752608532068,11147028.3257299,-11998947.5781035,0
"ATSC8s",17456987882613.9,11695398.1523632,1492637.33095623,0
"ATSC1Z",8139697741100247,56652239.7871391,143678304.188568,0
"ATSC2Z",-3985661732183135,31035407.5514063,-128423051.174095,0
"ATSC3Z",-527246633973085,24910487.3639281,-21165649.0806586,0
"ATSC4Z",509373722729663,28871754.5986397,17642631.3471666,0
"ATSC5Z",-1654137866588557,24707306.5381914,-66949340.02748,0
"ATSC6Z",-1036644932655924,25291352.1149099,-40988118.3080282,0
"ATSC7Z",-340627517479825,21277235.6053336,-16009011.8753227,0
"ATSC8Z",390849180377176,15905008.7232722,24573968.3125911,0
"ATSC1v",5020908909281668,107929204.279922,46520392.1661424,0
"ATSC2v",-1763391266423559,118068485.786019,-14935325.4992991,0
"ATSC3v",4407045493643250,51721345.5387929,85207479.5760641,0
"ATSC4v",-3435408391227360,55513647.1522386,-61884033.3405986,0
"ATSC5v",-3806762523104.58,37769744.5992748,-100788.67526093,0
"ATSC6v",123164168797875,35975262.6730374,3423579.41670244,0
"ATSC7v",-645334766016090,29324480.3112476,-22006690.6273039,0
"ATSC8v",-1489740473452360,20126437.1836926,-74019085.4375071,0
"ATSC1se",-1433455995580846,54927283.5432921,-26097340.0304976,0
"ATSC2se",4504793124104164,57760467.3886916,77990939.6125509,0
"ATSC3se",2433690826949811,23744065.1092249,102496805.654576,0
"ATSC4se",-46935440061237.8,24534204.8366057,-1913061.39220004,0
"ATSC5se",1670616546249562,20776200.5759209,80410108.6791473,0
"ATSC6se",1119710156904406,22054811.7508792,50769427.0779605,0
"ATSC8se",366969999117871,16160552.6507543,22707762.9737336,0
"ATSC1p",-1943108261826030,74274280.5095399,-26161253.2426545,0
"ATSC2p",4115786762466058,61275062.3857491,67169034.2239991,0
"ATSC3p",87938480283518.2,37039950.4445295,2374152.21208823,0
"ATSC4p",4335376990582854,38631914.5636571,112222680.122133,0
"ATSC5p",2422092737707702,28082382.1547894,86249546.9350565,0
"ATSC6p",2233692765018150,26855299.2883611,83175120.8963893,0
"ATSC7p",707020374451524,25225524.7381501,28027974.9099631,0
"ATSC8p",1253029226122562,19543291.135729,64115568.7350825,0
"ATSC1i",-377424880723234,48387476.327104,-7800053.01726848,0
"ATSC2i",-1730610084032200,27885718.5408515,-62060802.9696967,0
"ATSC3i",-1418620057330800,17012396.076167,-83387434.1379917,0
"ATSC4i",-870032303023088,19418774.7948297,-44803666.1537851,0
"ATSC5i",-1710709443306970,16829804.3675655,-101647613.124004,0
"ATSC6i",-1599596890347701,16117591.4903198,-99245404.7063057,0
"ATSC7i",-293147060319802,10529154.6596838,-27841462.0921338,0
"ATSC8i",-461167984404034,10952193.0105101,-42107364.6128661,0
"AATSC0c",-179249036894357,34782583.3775535,-5153413.56185845,0
"AATSC2c",2149359788273658,33207663.4306369,64724812.4747822,0
"AATSC3c",1961577161978670,37867779.0152363,51800692.1184741,0
"AATSC4c",2695348655785082,36653864.7648199,73535183.0722106,0
