"","Estimate","Std. Error","z value","Pr(>|z|)"
"PNSA.2",-1556447204154235,44351016.9980141,-35093833.4564894,0
"PNSA.3",-1206183107089397,75871618.2899061,-15897685.2514278,0
"FPSA.1",-4115601599617064,58876047.5094829,-69902817.4225551,0
"FPSA.3",2148768947378248,33974037.5574468,63247382.4680063,0
"FNSA.3",187460277950033,68378483.5632482,2741509.72910415,0
"WNSA.1",-1854344759090452,62385839.7472049,-29723808.5854817,0
"RPCG",-691505162951184,9733607.77551304,-71043047.8502341,0
"RNCG",352488900999531,17620223.5428517,20004791.6612574,0
"RPCS",206082900168711,6312098.46616786,32648872.8389286,0
"RNCS",-18044555945881,5606738.16813427,-3218369.64822732,0
"THSA",-8565985997429661,110720862.864956,-77365600.0845788,0
"RHSA",3963594475007218,56138534.8968735,70603810.4180727,0
"LOBMAX",-94887850227505.1,5058516.24451033,-18758040.0340674,0
"MOMI.Z",-1017727068565512,28482849.045559,-35731224.3216132,0
"MOMI.XY",-132609940599516,8445933.06644532,-15701040.9100161,0
"MOMI.XZ",63012384943437.2,5251198.36504346,11999620.0034839,0
"geomShape",-83385505209932.9,3969913.63316981,-21004362.5415984,0
"RDF10u",-661674084573437,21522915.211728,-30742772.4387859,0
"RDF20u",-229894777216954,14951947.3428993,-15375574.2944167,0
"RDF20m",257120873094804,13388639.566669,19204406.2292114,0
"RDF30m",39904028942104.7,14314136.9324976,2787735.58827077,0
"RDF35m",-36643798273038.9,10835667.3213116,-3381775.86912141,0
"RDF40m",97407515357230.7,9928497.17549628,9810902.25796048,0
"RDF45m",117478091890237,9543710.44505818,12309477.8038943,0
"RDF50m",-899662037993887,12747403.3712436,-70576101.7983788,0
"RDF55m",-226629863763701,11013908.6576751,-20576697.2296229,0
"RDF60m",-558868686017084,17756323.9468982,-31474346.1365329,0
"RDF65m",297451468335010,10269665.4473727,28964085.525406,0
"RDF70m",-427109938346918,11552114.7156105,-36972446.0725583,0
"RDF75m",-626990153352388,11758185.5385291,-53323716.5970782,0
"RDF80m",-204706987315672,11352129.5196001,-18032474.6085951,0
"RDF85m",-232349660467293,13143500.3796257,-17677913.322654,0
"RDF95m",579393435417930,9203125.56058124,62956158.9270914,0
"RDF10s",1375487508949432,35005979.9272597,39292929.7167973,0
"RDF15s",341045824046219,23645755.9633975,14423130.5006337,0
"RDF20s",-180472680933118,24256120.9660465,-7440294.39767975,0
"RDF25s",-90486820932942.2,13404065.0747673,-6750699.91291529,0
"RDF30s",-1087652597093829,14955146.2827396,-72727646.8267741,0
"RDF35s",246266649930605,13662827.5890702,18024574.2197326,0
"RDF40s",26104726687173.2,18922434.4770495,1379564.91374484,0
"RDF50s",468989974751219,14716400.3533296,31868525.1482106,0
"RDF55s",-258526148109588,14077492.6519932,-18364502.4366597,0
"RDF60s",201291939645873,12545147.3100784,16045402.6302394,0
"RDF65s",792780929626705,13188076.6536024,60113460.8517879,0
"RDF70s",-511273010192084,14193641.6970668,-36021270.7284093,0
"RDF75s",170599900194037,15202767.7075696,11221634.3415609,0
"RDF80s",310019187568385,13513847.9418186,22940852.1468582,0
"RDF85s",287262301792398,15788839.9738674,18194009.3298719,0
"L2u",326083213645806,20333507.7442962,16036741.8030603,0
"L3u",99005437862446.9,10586326.0264439,9352199.96202062,0
