"","Estimate","Std. Error","z value","Pr(>|z|)"
"ATSC4i",-790297988459343,18887455.8394877,-41842479.7482295,0
"ATSC5i",-647698666249369,16391167.4493819,-39515102.7679724,0
"ATSC6i",-241807796092150,15569804.6982621,-15530560.6446778,0
"ATSC7i",58150707569437.4,12442781.4042368,4673449.26188584,0
"ATSC8i",876747478526727,11247048.2928666,77953562.1877611,0
"ATSC1s",378692671868838,57818614.243322,6549667.0375938,0
"ATSC2s",-1486301684552398,38996365.5615953,-38113851.4614846,0
"ATSC3s",-204110734818513,15255027.9359926,-13379899.1175189,0
"ATSC4s",-586700908078138,17580857.9932781,-33371574.2600536,0
"ATSC5s",-547106384871136,14271821.2557739,-38334727.9275794,0
"ATSC6s",-4161076734604.12,14911243.8627597,-279056.313001242,0
"ATSC7s",66627621763876,12226217.1527096,5449569.63643575,0
"ATSC8s",945798436198789,11078800.4787596,85370111.8647354,0
"AATSC3c",1822677017022235,51607994.8181776,35317725.9345919,0
"AATSC4c",-945995642900521,68215735.4050443,-13867704.2369108,0
"AATSC5c",-539386785431800,67961968.2982749,-7936597.46675541,0
"AATSC8c",-546988542588730,20059443.5865753,-27268380.6122519,0
"AATSC1m",-3797756241211602,66762889.4365347,-56884240.2308213,0
"AATSC2m",2688535754055444,44944559.2174914,59818936.949528,0
"AATSC3m",-3454460343922495,38624605.0795321,-89436780.9537313,0
"AATSC4m",-3306963253422626,64999476.3625981,-50876767.6061697,0
"AATSC5m",-673836964661246,60806049.442392,-11081742.2088841,0
"AATSC6m",-362496363839315,55171027.5928596,-6570411.67538867,0
"AATSC7m",-3635475556950150,67430180.1879295,-53914664.7216127,0
"AATSC8m",-3316474675647080,41358468.5496805,-80188527.0887937,0
"AATSC0v",-552576780628984,64880897.8132429,-8516786.90112387,0
"AATSC1v",-277567082598204,81006976.7091278,-3426458.97766146,0
"AATSC2v",-560640797203841,61580799.7165007,-9104149.34175687,0
"AATSC3v",2563974632435638,48139602.8654929,53261233.5751845,0
"AATSC4v",-1593305730952093,47226184.7431804,-33737760.9395426,0
"AATSC5v",-925175196160214,38438659.875754,-24068872.30592,0
"AATSC6v",-252316209530239,41412885.419801,-6092698.12939905,0
"AATSC7v",348596169719880,34899004.2349066,9988713.92929911,0
"AATSC8v",1225118164991568,31355399.4677374,39071999.9039442,0
"AATSC1e",5005847514325662,46611621.8015584,107394836.756319,0
"AATSC2e",-3587212961308089,41379425.5304521,-86690738.5813796,0
"AATSC3e",429025720824496,28840729.4807518,14875688.9492281,0
"AATSC4e",-1177388598046935,35904692.9232617,-32792053.1325345,0
"AATSC5e",-1107130516948909,32205672.0851933,-34376879.7626775,0
"AATSC6e",250285344561429,25897250.1451962,9664552.92195785,0
"AATSC7e",-93195102856291.2,23786646.4149277,-3917958.89301172,0
"AATSC8e",422450804182436,17040663.5306105,24790748.5188929,0
"AATSC0p",9605555403298972,257397870.74678,37317928.7592033,0
"AATSC1p",-1476360454287706,81392670.2721819,-18138739.635285,0
"AATSC2p",-2927576537871134,50743015.3863129,-57694177.5253821,0
"AATSC3p",540405964672108,49317433.7357367,10957706.5093822,0
"AATSC4p",5606653697330349,64845623.6029258,86461558.7886394,0
"AATSC5p",1129446692086570,41653122.0393594,27115535.085685,0
"AATSC6p",-358727897735982,40552640.1050251,-8845981.34195287,0
"AATSC7p",907266720088464,43179717.3397538,21011409.4297968,0
"AATSC8p",1002394100070868,44971621.8803063,22289480.7471872,0
"AATSC0i",1236841129533436,68336453.3307713,18099287.704422,0
"AATSC1i",174166182245693,37094619.1415574,4695187.23405825,0
"AATSC2i",1483441061701698,31284431.5514367,47417868.5095389,0
"AATSC3i",798579502995018,30761308.9284391,25960517.6376849,0
"AATSC4i",21127317815157.6,28106549.7909869,751686.634335055,0
"AATSC5i",1921999346491924,23444154.5779394,81982028.4029562,0
"AATSC6i",-323091490299845,17135308.0256872,-18855306.8211849,0
"AATSC7i",-332540091996696,14427568.7526336,-23048934.8342904,0
"AATSC8i",-59475432758061.5,12093647.4917755,-4917906.9258062,0
"AATSC1s",-763808021331170,49918996.9843576,-15300948.8866636,0
"AATSC2s",3498026222908244,43193168.4008178,80985636.2109803,0
"AATSC3s",-1413142442702142,33642902.7435478,-42004177.0317563,0
"AATSC4s",2135518689261257,31452193.9914938,67897288.495639,0
"AATSC5s",2776169722244439,25857146.5830197,107365664.394986,0
"AATSC6s",-218952658310468,20159049.949313,-10861258.7825811,0
"AATSC7s",1353153567629872,17226815.4833385,78549257.6349137,0
"AATSC8s",-260925275168446,15097447.0571717,-17282741.5244685,0
"MATS1c",-170643169351272,42687134.7027458,-3997531.58743389,0
"MATS2c",-1423645668523587,46380213.9527655,-30695107.831401,0
"MATS3c",-1906853742928740,37874060.9106369,-50347221.7417594,0
"MATS4c",99521744074967.4,31833987.0157853,3126273.31366374,0
"MATS5c",472194653930078,23450259.935766,20136009.375738,0
"MATS6c",-242589763689653,16679032.1117733,-14544594.7980648,0
"MATS7c",291571464832042,11774694.8522426,24762549.5599582,0
"MATS8c",49978545838922.5,9505277.83395562,5257978.43177025,0
"MATS1m",-91575597689702.9,27715396.4537823,-3304141.71929356,0
"MATS2m",685842588206174,27884775.0020744,24595593.4073398,0
"MATS3m",284213201595907,26563243.2885081,10699491.7190276,0
"MATS4m",-405548785040263,29417751.9425972,-13785852.3598815,0
"MATS5m",-649944548791256,27251720.8329026,-23849669.9997947,0
"MATS6m",1413698497868384,24537315.9379491,57614227.3035649,0
"MATS7m",-224633666023175,27136701.6433898,-8277854.43401126,0
"MATS8m",779688244368872,21463911.9208616,36325542.4846885,0
"MATS1e",-389608594438208,24112820.6422416,-16157736.1777277,0
"MATS2e",611958312054463,28223771.7761934,21682371.7576489,0
"MATS3e",725842604129102,20785404.0721863,34920783.9120326,0
"MATS4e",774077246806683,20362287.6377634,38015239.7695777,0
"MATS5e",432265969061891,19776336.8281589,21857736.9923434,0
"MATS1p",622421044451414,56906300.9715658,10937647.217,0
"MATS3p",-4363892653376440,48629938.7141918,-89736750.0095761,0
"MATS4p",-4244024331634079,53107397.0084094,-79913996.3678139,0
"MATS5p",793894734076064,37596662.161894,21116096.1751736,0
"MATS6p",-35762392953936.5,31977773.9501413,-1118351.54659909,0
"MATS7p",1134773460071175,28588662.5407034,39693128.6469078,0
"MATS8p",-1247760654266408,29768123.7984845,-41915999.2316993,0
"MATS3i",375191213476137,32321201.7369043,11608207.4091863,0
"MATS4i",787587336838267,22190893.0239999,35491466.5212651,0
"MATS5i",-1448508423081242,20190435.71695,-71742306.277482,0
"MATS1s",1226021505025538,17374369.9405479,70564947.6338291,0
"MATS2s",-395501171558752,18119022.6182455,-21827952.8588087,0
"MATS3s",697873955189044,12422319.4063023,56179038.0977473,0
"MATS4s",-777034348615668,13866755.6767198,-56035771.2164924,0
"MATS5s",-1008614154617558,13595208.5834639,-74188942.9960166,0
"MATS6s",843145131734107,11948233.5161272,70566509.3167178,0
"MATS7s",-945174395587551,12472055.6227463,-75783369.1716192,0
"MATS8s",75755132005453.6,11443337.9624724,6620020.5092157,0
"GATS1c",951900819073312,27688387.5865609,34379062.9229466,0
"GATS2c",-289676846615095,29491032.2502789,-9822540.09139864,0
"GATS3c",-618474709987524,12395269.6074853,-49896027.240427,0
"GATS4c",-217315352494363,11470036.7644568,-18946351.8694008,0
"GATS5c",-192185995492551,11524116.3948571,-16676853.0364999,0
"GATS6c",-113131140176854,10408324.5136207,-10869294.0952029,0
"GATS7c",-100454649615082,11239560.6910183,-8937595.72786121,0
"GATS8c",894581609334137,10117296.6956604,88421011.6836695,0
"GATS1m",614253177764221,46913599.2478497,13093286.1177215,0
"GATS2m",1695239944879705,35063953.0340183,48347085.7731021,0
"GATS3m",-472334981906093,23717213.461866,-19915281.4754373,0
"GATS4m",126294479196336,23569774.1555121,5358323.68876563,0
"GATS5m",-372752288702511,19158887.5693555,-19455841.9612382,0
"GATS6m",1438305054064211,19743228.4058195,72850550.3000847,0
"GATS7m",-595735101819862,22907242.1198969,-26006408.7462722,0
"GATS8m",402906103758389,20690969.1481133,19472558.3356799,0
"GATS2v",-3143410951140337,59559630.0435401,-52777543.2594594,0
"GATS3v",-398729201017242,49501804.635189,-8054841.7164937,0
"GATS5v",-2094559198645134,33961955.7680769,-61673691.967232,0
"GATS6v",-2584046934707499,34745341.7288295,-74371032.3782317,0
"GATS7v",1212647644115072,34036180.9945448,35628193.548196,0
"GATS8v",-119117555761526,31178080.9773637,-3820554.44169284,0
"GATS1e",-580565348710223,24639475.3422608,-23562407.0985983,0
"GATS2e",-52798626597714.9,28744976.2610728,-1836794.92785723,0
"GATS3e",919175069958841,15004992.0204096,61257951.2677243,0
"GATS4e",112641022814795,15871317.6021505,7097143.7682989,0
"GATS5e",452953230557605,16775888.7005519,27000252.4839537,0
"GATS6e",-999730929031619,14404186.2372599,-69405581.9998754,0
"GATS7e",-269198814974087,15489151.3065361,-17379829.8981359,0
"GATS8e",-1562200733008025,12840309.0354882,-121663795.527849,0
"GATS1p",-3770308478914364,77382313.3082754,-48723129.5851058,0
"GATS3p",-1309532385239723,39937919.6936064,-32789198.7185643,0
"GATS4p",-1699659938038388,37488077.7963553,-45338679.3335036,0
"GATS5p",1180409340528853,28466421.2869691,41466727.715057,0
"GATS6p",1459158184314294,29158590.3785255,50042137.3383305,0
"GATS7p",-207286325158980,27098586.8537737,-7649340.76738076,0
"GATS8p",-23079266438729.7,27580369.7856497,-836800.471425805,0
"GATS1i",507515411597648,32017521.3375231,15851177.4302423,0
"GATS2i",354282616091519,23252600.6457003,15236257.7197158,0
"GATS3i",684511194648162,31477826.651536,21745821.3435698,0
"GATS4i",956634952654011,23293510.6862537,41068732.2121244,0
"GATS5i",791056171688471,19094407.947429,41428682.88278,0
"GATS6i",-286323521805467,15921413.94884,-17983548.6173216,0
"GATS7i",11728404789743.1,13174822.8124711,890213.474342983,0
