parent_smiles,ring_fragment,chembl_id,parent_mol,fragment_mol
CCC1(C)CC(=O)NC1=O,CC1(C)CC(=O)NC1=O,CHEMBL696,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1be0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284beb20>
NC(=O)CN1CCCC1=O,CN1CCCC1=O,CHEMBL36715,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1c40>,<rdkit.Chem.rdchem.Mol object at 0x7f28284beb80>
CN1C(=O)OC(C)(C)C1=O,CN1C(=O)OC(C)(C)C1=O,CHEMBL695,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1ca0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bebe0>
O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,CHEMBL1200660,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1d00>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bec40>
CN[C@@H](C)Cc1ccccc1,Cc1ccccc1,CHEMBL1201201,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1d60>,<rdkit.Chem.rdchem.Mol object at 0x7f28284beca0>
CC(C)(N)Cc1ccccc1,Cc1ccccc1,CHEMBL1574,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1dc0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bed00>
CC(=O)Nc1ccc(O)cc1,Nc1ccc(O)cc1,CHEMBL112,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1e20>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bed60>
CC(N)C(O)c1ccccc1,Cc1ccccc1,CHEMBL61006,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1e80>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bedc0>
CC(N)Cc1ccc(O)cc1,Cc1ccc(O)cc1,CHEMBL1546,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1ee0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bee20>
NC12CC3CC(CC(C3)C1)C2,NC12CC3CC(CC(C3)C1)C2,CHEMBL660,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1f40>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bee80>
Sc1ncnc2nc[nH]c12,Sc1ncnc2nc[nH]c12,CHEMBL1425,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1fa0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284beee0>
OB1OCc2cc(F)ccc21,OB1OCc2cc(F)ccc21,CHEMBL443052,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2040>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bef40>
O=C(O)C(O)c1ccccc1,Cc1ccccc1,CHEMBL3833312,<rdkit.Chem.rdchem.Mol object at 0x7f28284e20a0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284befa0>
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,CHEMBL504760,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2100>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1040>
Nc1ccc(O)c(C(=O)O)c1,Cc1cc(N)ccc1O,CHEMBL704,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2160>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c10a0>
Nc1ccc(C(=O)O)c(O)c1,Cc1ccc(N)cc1O,CHEMBL1169,<rdkit.Chem.rdchem.Mol object at 0x7f28284e21c0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1100>
NCCc1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,CHEMBL59,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2220>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1160>
Cc1cnc(C(=O)O)c[n+]1[O-],Cc1c[n+]([O-])c(C)cn1,CHEMBL345714,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2280>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c11c0>
Cc1cc(O)cc(C)c1Cl,Cc1cc(O)cc(C)c1Cl,CHEMBL398440,<rdkit.Chem.rdchem.Mol object at 0x7f28284e22e0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1220>
CC1CCC(C(C)C)C(O)C1,CC1CCC(C)C(O)C1,CHEMBL256087,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2340>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1280>
CCC1(C)OC(=O)N(C)C1=O,CN1C(=O)OC(C)(C)C1=O,CHEMBL1100,<rdkit.Chem.rdchem.Mol object at 0x7f28284e23a0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c12e0>
NC[C@H]1CC[C@H](C(=O)O)CC1,C[C@H]1CC[C@H](C)CC1,CHEMBL877,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2400>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1340>
C#CCN(C)Cc1ccccc1,Cc1ccccc1,CHEMBL673,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2460>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c13a0>
NNc1nncc2ccccc12,Nc1nncc2ccccc12,CHEMBL276832,<rdkit.Chem.rdchem.Mol object at 0x7f28284e24c0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1400>
c1ccc(CC2=NCCN2)cc1,Cc1ccccc1,CHEMBL770,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2520>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1460>
c1ccc(CC2=NCCN2)cc1,CC1=NCCN1,CHEMBL770,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2580>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c14c0>
Cc1ncsc1CCCl,Cc1ncsc1C,CHEMBL315795,<rdkit.Chem.rdchem.Mol object at 0x7f28284e25e0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1520>
CN1CCC[C@H]1c1cccnc1,C[C@@H]1CCCN1C,CHEMBL3,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2640>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1580>
CN1CCC[C@H]1c1cccnc1,Cc1cccnc1,CHEMBL3,<rdkit.Chem.rdchem.Mol object at 0x7f28284e26a0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c15e0>
OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,C[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,CHEMBL110458,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2700>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1640>
CNC(C)(C)Cc1ccccc1,Cc1ccccc1,CHEMBL1201234,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2760>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c16a0>
O=C(O)CCCc1ccccc1,Cc1ccccc1,CHEMBL1469,<rdkit.Chem.rdchem.Mol object at 0x7f28284e27c0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1700>
CCOC(=O)c1ccc(N)cc1,Cc1ccc(N)cc1,CHEMBL278172,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2820>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1760>
CN[C@@H](C)[C@@H](O)c1ccccc1,Cc1ccccc1,CHEMBL1590,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2880>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c17c0>
CN[C@@H](C)[C@H](O)c1ccccc1,Cc1ccccc1,CHEMBL211456,<rdkit.Chem.rdchem.Mol object at 0x7f28284e28e0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1820>
CCc1cc(C(N)=S)ccn1,Cc1ccnc(C)c1,CHEMBL1441,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2940>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1880>
Nc1nc2[nH]cnc2c(=S)[nH]1,Nc1nc2[nH]cnc2c(=S)[nH]1,CHEMBL727,<rdkit.Chem.rdchem.Mol object at 0x7f28284e29a0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c18e0>
C#CC1(OC(N)=O)CCCCC1,CC1(O)CCCCC1,CHEMBL1576,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2a00>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1940>
C[C@H](N)[C@H](O)c1cccc(O)c1,Cc1cccc(O)c1,CHEMBL1201319,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2a60>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c19a0>
CNC[C@H](O)c1cccc(O)c1,Cc1cccc(O)c1,CHEMBL1215,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2ac0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1a00>
CNC1(C)C2CCC(C2)C1(C)C,CC1(C)C2CCC(C2)C1(C)N,CHEMBL267936,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2b20>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1a60>
O=c1[nH]c2cc(Cl)ccc2o1,O=c1[nH]c2cc(Cl)ccc2o1,CHEMBL1371,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2b80>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1ac0>
NC[C@H](O)c1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,CHEMBL1437,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2be0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1b20>
CCCc1cc(=O)[nH]c(=S)[nH]1,Cc1cc(=O)[nH]c(=S)[nH]1,CHEMBL1518,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2c40>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1b80>
CC[C@@H](C(N)=O)N1CCCC1=O,CN1CCCC1=O,CHEMBL1286,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2ca0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1be0>
Cc1ncc([N+](=O)[O-])n1CCO,Cc1ncc([N+])n1C,CHEMBL137,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2d00>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1c40>
C#CCN[C@@H]1CCc2ccccc21,N[C@@H]1CCc2ccccc21,CHEMBL887,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2d60>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1ca0>
NCC1(CC(=O)O)CCCCC1,CC1(C)CCCCC1,CHEMBL940,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2dc0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1d00>
Nc1ccc(S(N)(=O)=O)cc1,Nc1ccc(S)cc1,CHEMBL21,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2e20>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1d60>
CC1(O)CCC(C(C)(C)O)CC1,CC1CCC(C)(O)CC1,CHEMBL1651998,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2e80>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1dc0>
CC1=NN(c2ccccc2)C(=O)C1,CC1=NN(C)C(=O)C1,CHEMBL290916,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2ee0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1e20>
CC1=NN(c2ccccc2)C(=O)C1,Nc1ccccc1,CHEMBL290916,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2f40>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1e80>
N=C(N)N1CCc2ccccc2C1,CN1CCc2ccccc2C1,CHEMBL169901,<rdkit.Chem.rdchem.Mol object at 0x7f28284e2fa0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1ee0>
OCc1ccc(Cl)cc1Cl,Cc1ccc(Cl)cc1Cl,CHEMBL3184437,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3040>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1f40>
NC1=NC(=O)C(c2ccccc2)O1,CC1OC(N)=NC1=O,CHEMBL1177,<rdkit.Chem.rdchem.Mol object at 0x7f28284e30a0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c1fa0>
NC1=NC(=O)C(c2ccccc2)O1,Cc1ccccc1,CHEMBL1177,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3100>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2040>
CC1NCCOC1c1ccccc1,CC1NCCOC1C,CHEMBL1201208,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3160>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c20a0>
CC1NCCOC1c1ccccc1,Cc1ccccc1,CHEMBL1201208,<rdkit.Chem.rdchem.Mol object at 0x7f28284e31c0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2100>
C/N=C(\NC)NCc1ccccc1,Cc1ccccc1,CHEMBL1201260,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3220>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2160>
NC(=O)NC(=O)Cc1ccccc1,Cc1ccccc1,CHEMBL918,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3280>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c21c0>
CCN(CC)C(=O)c1cccnc1,Cc1cccnc1,CHEMBL2104607,<rdkit.Chem.rdchem.Mol object at 0x7f28284e32e0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2220>
CCCCCc1ccc(C)cc1O,Cc1ccc(C)c(O)c1,CHEMBL1512677,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3340>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2280>
