parent_smiles,ring_fragment
CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](C)N)C(=O)N[C@@H](COP(=O)(O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)O,C[C@@H]1CCCN1C
CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)CO[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O,C[C@H]1O[C@@H](O)[C@H](N)[C@@H](O)[C@@H]1O
CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)CO[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O,C[C@H]1OC[C@H](N)[C@@H](O)[C@@H]1O
CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)CO[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O,C[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
CCOC(=O)NCc1ccc(-n2c(-c3cc(C(C)C)c(O)cc3O)n[nH]c2=S)cc1,Cc1ccc(N)cc1
CCOC(=O)NCc1ccc(-n2c(-c3cc(C(C)C)c(O)cc3O)n[nH]c2=S)cc1,Cc1cc(C)c(O)cc1O
CCOC(=O)NCc1ccc(-n2c(-c3cc(C(C)C)c(O)cc3O)n[nH]c2=S)cc1,Cc1n[nH]c(=S)n1C
O=C(Oc1ccc2c3c(cccc13)C(=O)O2)c1ccc([N+](=O)[O-])cc1,O=C1Oc2ccc(O)c3cccc1c23
O=C(Oc1ccc2c3c(cccc13)C(=O)O2)c1ccc([N+](=O)[O-])cc1,Cc1ccc([N+])cc1
O=[N+]([O-])c1ccc(O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1,[N+]c1ccc(O)cc1
O=[N+]([O-])c1ccc(O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1,C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,Cc1nccc(N)n1
CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,Cc1c[nH]c2ncccc12
CC1(C)CN=C(N2CCN(c3ncnc4sc(C(F)(F)C(F)(F)F)cc34)CC2)S1,CC1(C)CN=C(N)S1
CC1(C)CN=C(N2CCN(c3ncnc4sc(C(F)(F)C(F)(F)F)cc34)CC2)S1,CN1CCN(C)CC1
CC1(C)CN=C(N2CCN(c3ncnc4sc(C(F)(F)C(F)(F)F)cc34)CC2)S1,Cc1cc2c(N)ncnc2s1
Nc1ncc([C@@H]2SCC[C@H]2C2CC2)nc1[C@H]1CC[C@@H](C(=O)O)CC1,Cc1cnc(N)c(C)n1
Nc1ncc([C@@H]2SCC[C@H]2C2CC2)nc1[C@H]1CC[C@@H](C(=O)O)CC1,C[C@@H]1CCS[C@H]1C
Nc1ncc([C@@H]2SCC[C@H]2C2CC2)nc1[C@H]1CC[C@@H](C(=O)O)CC1,CC1CC1
Nc1ncc([C@@H]2SCC[C@H]2C2CC2)nc1[C@H]1CC[C@@H](C(=O)O)CC1,C[C@H]1CC[C@@H](C)CC1
CCc1ccc([C@H]2C[C@@H](C)n3ncc(C(=O)NCc4ccc(F)cc4)c3N2)cc1,Cc1ccc(C)cc1
CCc1ccc([C@H]2C[C@@H](C)n3ncc(C(=O)NCc4ccc(F)cc4)c3N2)cc1,Cc1cnn2c1N[C@@H](C)C[C@H]2C
CCc1ccc([C@H]2C[C@@H](C)n3ncc(C(=O)NCc4ccc(F)cc4)c3N2)cc1,Cc1ccc(F)cc1
Cc1ccn(-c2ccc3c(c2)NCC3(C)C)c(=O)c1-c1ccc2nc(N)ncc2c1,Cc1ccn(C)c(=O)c1C
Cc1ccn(-c2ccc3c(c2)NCC3(C)C)c(=O)c1-c1ccc2nc(N)ncc2c1,CC1(C)CNc2cc(N)ccc21
Cc1ccn(-c2ccc3c(c2)NCC3(C)C)c(=O)c1-c1ccc2nc(N)ncc2c1,Cc1ccc2nc(N)ncc2c1
