"","Estimate","Std. Error","z value","Pr(>|z|)"
"JGI7",15189224773812.4,2769694.34255675,5484079.79192065,0
"JGI8",-113437157720906,2531994.00977395,-44801511.0948202,0
"JGI9",120935387151955,2396081.57094509,50472149.4536823,0
"JGI10",82957434702552.6,2269644.93366358,36550842.5886888,0
"VE1_D",117517724266007,6932625.70258162,16951401.8652767,0
"VE2_D",-24150692334677.4,6147110.79004876,-3928787.54906673,0
"VR1_D",90484767416798.8,6340968.26474,14269865.9950649,0
"VR2_D",-139900001100852,7132761.91709401,-19613720.8457183,0
"SRW5",-33954237002986.4,5120738.51212151,-6630730.49377779,0
"AMW",-3014275241248068,125227694.534722,-24070356.4211373,0
"XLogP",-201022323407494,8442798.79342639,-23809915.2101092,0
