"","Estimate","Std. Error","z value","Pr(>|z|)"
"ATSC3d",576104100203076,16026403.1893511,35947186.239884,0
"ATSC4d",23092870579443,12254858.6589687,1884384.8976212,0
"ATSC5d",549290813258600,9604261.65422062,57192404.0633787,0
"ATSC6d",70320203707188.9,7597891.59844333,9255225.97895398,0
"ATSC7d",63324757798948.6,6308629.94288167,10037798.756987,0
"ATSC8d",-20581135090138.2,4299365.16875295,-4787017.21819733,0
"ATSC1s",79755869484433.6,32373319.0088975,2463629.67796145,0
"ATSC2s",8192391511321.35,18708845.3794715,437888.674857002,0
"ATSC3s",-299273060888407,7672067.57053166,-39008136.7424228,0
"ATSC4s",152136310672727,8083872.21351628,18819732.2587997,0
"ATSC5s",78859128828445.1,7262006.58728999,10859137.6061907,0
"ATSC6s",-108904661358818,7039355.93152938,-15470827.5044074,0
"ATSC7s",-100340669139674,6337517.88683503,-15832802.5153369,0
"ATSC8s",131471091191078,5988010.83914608,21955720.3089208,0
"ATSC1Z",-367930785502330,17967696.5077419,-20477348.6319627,0
"ATSC2Z",-85581226574251.1,7502187.15612418,-11407503.5444016,0
"ATSC3Z",-184569094363249,8723974.0540272,-21156538.6623367,0
"ATSC4Z",174400939280788,13071047.7334105,13342537.0970842,0
"ATSC5Z",215654696424449,7495939.39615795,28769535.7482457,0
"ATSC6Z",10016709160362.6,8828544.03724708,1134582.22761338,0
"ATSC7Z",142964839066964,8061914.22237894,17733361.4726525,0
"ATSC8Z",-284286464680829,8802408.50103511,-32296440.7579356,0
"ATSC1v",-1519693947031754,38881860.6144193,-39084908.0526814,0
"ATSC2v",-361605472474344,43163452.1973636,-8377584.60145668,0
"ATSC3v",477167557338897,20833294.6041491,22904085.330981,0
"ATSC4v",-606540809467029,20325111.8528077,-29841942.0202719,0
"ATSC5v",217863031967908,14441218.4329888,15086194.6295496,0
"ATSC6v",-822533775797403,14162380.7968953,-58078778.391393,0
"ATSC7v",-821488331855705,13656768.0081725,-60152470.2890251,0
"ATSC8v",-170928853665186,9885335.89385449,-17291152.8248067,0
"ATSC1se",-581103120043254,22636617.9656664,-25670933.7465795,0
"ATSC2se",883578964740992,21895027.6158686,40355234.0852318,0
"ATSC3se",699226005672643,9765633.1080899,71600683.5330933,0
"ATSC4se",32243724639775.2,9644080.70379396,3343369.43355219,0
"ATSC5se",-113874598742793,8417333.84793971,-13528582.8980949,0
"ATSC6se",80357085052785.1,7996242.20050453,10049356.0647419,0
"ATSC7se",142498031476907,7475495.70418288,19062017.7063539,0
"ATSC8se",9425518215379.64,7093531.26778682,1328748.3849099,0
"ATSC0p",456477225834286,91454260.5666841,4991317.22246494,0
"ATSC1p",1669499471312340,27255153.4077075,61254451.4550493,0
"ATSC2p",234593816697742,20809177.6122271,11273574.6250683,0
"ATSC3p",-299487787062070,13248320.4654712,-22605717.2939483,0
"ATSC4p",128647419648021,16936463.2728925,7595884.54656443,0
"ATSC5p",-372024286464601,10667541.4269344,-34874416.8478485,0
"ATSC6p",446602414757349,11935884.8004582,37416783.2735958,0
"ATSC7p",486876023636655,12062880.5819702,40361505.7223035,0
"ATSC8p",314815172938876,10886530.4987582,28917860.7431253,0
"ATSC1i",109025419379333,22468389.8278312,4852391.30239253,0
