"","Estimate","Std. Error","z value","Pr(>|z|)"
"RDF40m",134882559153833,4993027.56085841,27014182.7798451,0
"RDF50m",-193525864798811,5002752.58658428,-38683876.8156921,0
"RDF55m",48240963837919.4,4836828.45203431,9973676.82486854,0
"RDF60m",-278382188780922,8519500.97072237,-32675879.6950191,0
"RDF65m",54469203072303,4644841.95725895,11726815.1583024,0
"RDF70m",-8780192636996.81,6001758.55725608,-1462936.66318543,0
"RDF75m",-25118601226643.3,5019716.60693836,-5003987.91276859,0
"RDF80m",147017714509732,5026653.88555727,29247630.3037588,0
"RDF85m",-143516823281629,5268646.38810685,-27239790.3958018,0
"RDF90m",47078014645497.5,5162610.20247836,9119033.35698234,0
"RDF105m",-21513915515875,5000043.49485742,-4302745.67371308,0
"RDF115m",69675471486544.7,4553054.28105693,15303017.97113,0
"RDF10s",-73698763454033.9,23453029.4224156,-3142398.45636296,0
"RDF40s",-164280619103985,13310747.5985768,-12341952.8382876,0
"RDF70s",250262029596529,10973587.4220627,22805853.7259537,0
"L2u",-95652886171495.5,9614535.88275027,-9948778.32253028,0
"L3u",-105907110984897,5484423.69155591,-19310526.855895,0
"P1u",-152190714169426,7786843.43634017,-19544596.653783,0
"E1u",1193432874428868,77497831.2550982,15399564.8020196,0
"E2u",1895237562376688,90949343.7804292,20838386.3324203,0
"E3u",2012425667898522,108617353.204274,18527662.5560355,0
"Du",-2799550280823403,171055211.815375,-16366354.7641275,0
"E1m",41635004439267,6347775.3048001,6558991.52696587,0
"E2m",-66173270818044.4,4678113.23716481,-14145290.5184803,0
"E3m",-14392367323633.7,4034052.64046028,-3567719.26555513,0
"E1v",86857985927576.4,11609334.1494866,7481737.09268393,0
"E2v",671253142901969,8906851.18500132,75363686.7799391,0
"E3v",211520082961566,10275818.6837361,20584256.0550768,0
"E1e",226892552560444,12151239.0040821,18672380.0333629,0
"E3e",40750268252262.6,21955943.9007806,1856001.65660898,0
"De",-345851914206794,25268332.3034612,-13687168.1935028,0
"E1p",-198418253910918,10695044.4947815,-18552354.2242142,0
"E2p",-789681449516530,7740043.63360638,-102025451.909318,0
"E3p",-336670532680590,8096038.93875992,-41584598.990597,0
"E3i",369904357281419,12916194.0184552,28638804.6473199,0
"E1s",240645745023195,11019796.0245135,21837586.1484077,0
"E2s",-402295672891735,11551962.2650134,-34824877.6842128,0
